times,startx,starty,endx,endy,velocity
0.000833333,0.052968932,0.070009349,0.063538527,0.085428264,0.161773533
0.001944444,0.038199276,0.076140012,0.030865788,0.056979411,0.174192957
0.004166667,0.029643872,0.118704308,0.025311666,0.129693291,0.187328492
0.004166667,0.051112704,0.073841177,0.029411464,0.086850564,0.12793114
0.005833333,0.024339859,0.139787189,0.020383559,0.142815651,0.082277476
0.006111111,0.027090759,0.075912399,0.004088943,0.138558778,0.222041114
0.006111111,0.029219753,0.072724704,0.022549943,0.047663834,0.169129909
0.006388889,0.033965631,0.124611813,0.026493176,0.126734153,0.210261792
0.006944444,0.012171973,0.076425516,0.042804923,0.101352232,0.182043267
0.006944444,0.043938961,0.075429293,0.057404267,0.080234925,0.195702461
0.011388889,0.05696719,0.060408944,0.05551755,0.075622947,0.186503307
0.016388889,0.029620457,0.118899542,0.032613545,0.0824579,0.15802121
0.016666667,0.040756031,0.089358368,0.030038843,0.087600583,0.224697589
0.018611111,0.040910741,0.115169259,0.066404853,0.115632919,0.148533949
0.019166667,0.06751608,0.057785372,0.073911932,0.05823345,0.098219169
0.019444444,0.047766161,0.073493398,0.055901401,0.093354644,0.154223624
0.02,0.039020749,0.114728514,0.02984733,0.132406574,0.154858012
0.023888889,0.031377068,0.058739703,0.038555392,0.069036815,0.189865882
0.025277778,0.042075518,0.090139742,0.053246139,0.034143935,0.156079687
0.029444444,0.012179284,0.078347034,0.013717881,0.068735236,0.156441912
0.030555556,0.029651755,0.110051186,0.048680832,0.08539349,0.151523769
0.030833333,0.048068937,0.043221766,0.072680602,0.007255923,0.202700849
0.0325,0.048244703,0.120894817,0.060401184,0.107732445,0.171548194
0.037777778,0.029422647,0.106108485,0.038933181,0.114591076,0.135332462
0.039166667,0.031459197,0.111303267,0.054562868,0.085480831,0.154569616
0.040555556,0.035733792,0.106756968,0.045123568,0.114539868,0.121621756
0.041111111,0.027932715,0.065753957,0.021621915,0.050892186,0.155003122
0.0425,0.051289534,0.073044204,0.067434099,0.038498761,0.16781724
0.044722222,0.029314041,0.106070638,0.044141361,0.113974105,0.183296821
0.046111111,0.026739605,0.073427294,0.042604141,0.08143414,0.158351601
0.046388889,0.036699815,0.114853092,0.055706806,0.075795015,0.17202891
0.050833333,0.0326159,0.117775985,0.044142245,0.13019442,0.253094378
0.052222222,0.041084762,0.071776906,0.016945136,0.077957788,0.164296906
0.052222222,0.063538273,0.069170384,0.006762202,0.074416558,0.177104881
0.052222222,0.034750444,0.112639096,0.031889443,0.115356255,0.032282721
0.054722222,0.01196008,0.061238676,0.032845406,0.070009513,0.150735855
0.056944444,0.044024465,0.107218982,0.038956804,0.114522132,0.100632016
0.058888889,0.046964168,0.089450011,0.028238613,0.085409618,0.15817287
0.059166667,0.050648576,0.083367551,0.072450091,0.095580103,0.075343862
0.063333333,0.031532579,0.111362604,0.023951553,0.130411552,0.199479487
0.064444444,0.042529208,0.087153686,0.05604025,0.089923638,0.113879386
0.064722222,0.030471795,0.112341938,0.039813295,0.109275114,0.08938219
0.067222222,0.030449009,0.112499606,0.075746161,0.101667206,0.142091329
0.071111111,0.055069081,0.084862149,0.073925741,0.089308387,0.099779034
0.072777778,0.011414176,0.090530815,0.002036942,0.109552761,0.100722629
0.076666667,0.062552269,0.113767046,0.052527361,0.070977755,0.146357647
0.078611111,0.015379111,0.080006342,0.057883709,0.084634667,0.190969033
0.079166667,0.088716058,0.094611926,0.053159243,0.089026611,0.169821936
0.08,0.029165405,0.075829017,0.059827133,0.058309635,0.198021773
0.080277778,0.014785956,0.090389759,0.000349282,0.142714268,0.158095839
0.080555556,0.061311467,0.074958459,0.035704797,0.033547811,0.163352856
0.080833333,0.028055492,0.105628854,0.069989587,0.095896418,0.103662367
0.082222222,0.051535313,0.064711944,0.060984278,0.043906162,0.185695782
0.0825,0.031637182,0.059537801,0.031430443,0.074647897,0.111023342
0.083611111,0.012093603,0.073335249,0.015441442,0.075870962,0.065450588
0.085,0.026485753,0.060050744,0.032008617,0.061182635,0.131789437
0.085,0.033446828,0.101757101,0.03644768,0.098738969,0.072615626
0.086388889,0.01172694,0.089712878,0.000620855,0.114628088,0.108630922
0.089444444,0.035259533,0.106347309,0.061618603,0.105728022,0.244007291
0.090555556,0.015039161,0.080828472,0.022492047,0.088380187,0.148623761
0.091388889,0.015065578,0.080916462,0.008689679,0.073129063,0.069946851
0.091666667,0.034361285,0.08972264,0.056876692,0.079215802,0.183668535
0.098888889,0.030429023,0.112397778,0.02747611,0.1253611,0.10496361
0.099166667,0.027508616,0.105484107,0.027754958,0.072708678,0.122147904
0.100277778,0.017787206,0.064648801,0.002735223,0.059564395,0.111709146
0.101388889,0.033093,0.115011128,0.032666396,0.105609282,0.162891678
0.101388889,0.015623663,0.07919036,7.91E-05,0.055141733,0.208255396
0.101944444,0.06097367,0.105794302,0.081571006,0.098510071,0.122128502
0.101944444,0.070396061,0.090966095,0.077572961,0.078833984,0.110797914
0.102222222,0.021885324,0.080017758,0.044232239,0.073693717,0.075458712
0.102777778,0.039780509,0.080811951,0.044766323,0.074047047,0.120052934
0.104444444,0.04357412,0.038302274,0.057945025,0.029752724,0.171018144
0.107222222,0.016092857,0.038294958,0.046674951,0.07614957,0.17554338
0.11,0.028677668,0.069890083,0.07496308,0.095368097,0.214676819
0.110555556,0.065835992,0.089246803,0.044052372,0.100930751,0.138182077
0.110833333,0.03245993,0.063053875,0.072932213,0.083824281,0.246266136
0.110833333,0.015893929,0.078735459,0.007212417,0.055595973,0.158595458
0.110833333,0.031969958,0.115128664,0.031730442,0.091419428,0.17384441
0.111388889,0.007924662,0.079066371,0.010216932,0.060264648,0.122419022
0.111666667,0.036281851,0.1217635,0.031786524,0.103791291,0.219385431
0.114444444,0.011450555,0.087990224,0.044919294,0.084798194,0.139279863
0.115,0.027065149,0.126444683,0.040210437,0.111697461,0.14694162
0.116111111,0.066572894,0.089471436,0.060424256,0.102287456,0.055381734
0.1175,0.060709548,0.087297989,0.038673756,0.08060475,0.097195293
0.119166667,0.051039084,0.075737709,0.028836513,0.109415782,0.211996141
0.120277778,0.027141204,0.106003234,0.025371787,0.113993472,0.162771903
0.120277778,0.043549059,0.113673645,0.031479945,0.126430734,0.15805364
0.123611111,0.01999755,0.076023629,0.060061759,0.106073039,0.161407025
0.124166667,0.029503267,0.108324864,0.072664067,0.106851746,0.162795139
0.125277778,0.045573973,0.072870169,0.039922055,0.084200783,0.134464037
0.125555556,0.040234202,0.116335551,0.0304943,0.112293505,0.150052022
0.125555556,0.015234639,0.080860414,0.02917765,0.060304653,0.1456324
0.126111111,0.029791045,0.114730337,0.056400956,0.060124803,0.16667602
0.127222222,0.01493892,0.072570987,0.029386774,0.073668832,0.213779571
0.1275,0.061560619,0.11376476,0.068321685,0.120759453,0.116350482
0.127777778,0.059156824,0.092667371,0.013630302,0.074192315,0.139712964
0.131666667,0.035040588,0.11978179,0.040557916,0.078342272,0.172590263
0.131944444,0.017313621,0.06604821,0.051652191,0.072716362,0.165913127
0.133611111,0.053386891,0.097263375,0.053704978,0.0666329,0.166328289
0.134444444,0.041058666,0.08336605,0.051373661,0.074311566,0.146186219
0.135277778,0.009929596,0.066730985,0.010327725,0.078294311,0.190194708
0.135833333,0.027253593,0.076412909,0.01488366,0.071060448,0.134409455
0.1375,0.028293835,0.07989544,0.032650295,0.126772646,0.076794347
0.139722222,0.034980516,0.112687113,0.038111895,0.092079549,0.180816443
0.141388889,0.010200861,0.079345854,0.045642536,0.111449539,0.291289752
0.1425,0.009983777,0.080048407,0.01015275,0.066775787,0.088002398
0.144722222,0.030507095,0.068397183,0.042514731,0.073316294,0.105927917
0.145,0.029718909,0.110667081,0.023980207,0.130458518,0.203801953
0.145833333,0.028582573,0.11180901,0.060208995,0.112219713,0.15727171
0.146111111,0.019086043,0.077387807,0.044357991,0.077007908,0.19652115
0.147222222,0.029926022,0.127710932,0.060990643,0.106445769,0.16211176
0.147777778,0.018758544,0.082274906,0.04502827,0.073718679,0.144146198
0.150277778,0.040771519,0.115432667,0.038617688,0.07692333,0.198641315
0.151388889,0.029753805,0.118847931,0.059610528,0.093610106,0.143465669
0.1525,0.027241075,0.076928687,0.016209403,0.08866615,0.136443757
0.152777778,0.00817235,0.078895427,0.043303104,0.100334416,0.197547853
0.153333333,0.033053302,0.115114667,0.034570092,0.110456297,0.073486331
0.154722222,0.02956553,0.079783881,0.050410234,0.084876269,0.155116102
0.157777778,0.0267401,0.126238961,0.037807675,0.115872643,0.164430657
0.16,0.031339987,0.11476443,0.029532794,0.105961965,0.08961172
0.162222222,0.029552951,0.128151714,0.021540113,0.140236113,0.124578864
0.163055556,0.010942986,0.090585286,0.035072236,0.115766757,0.195261548
0.164166667,0.004087244,0.086836011,0.010061122,0.08643602,0.173823484
0.164166667,0.059255712,0.117186196,0.069487185,0.108492511,0.129582756
0.164722222,0.026037923,0.058896212,0.026291318,0.050710508,0.139728193
0.166388889,0.028955153,0.126052565,0.044635887,0.114376356,0.100833157
0.166388889,0.003202964,0.051532974,0.003586857,0.13902374,0.237892591
