strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.2,150,3000,8.0,20,0.20791181128437172,0.5221834366338866,1639
Greedy,0.25,150,3000,8.0,20,0.20791181128437172,0.5221834366338866,906
Greedy,0.3,150,3000,8.0,20,0.20791181128437172,0.5221834366338866,393
Ranking,0.2,150,3000,8.0,20,0.21784463289931072,0.5272024395735986,1587
Ranking,0.25,150,3000,8.0,20,0.23700926884282744,0.5277242221392071,834
Ranking,0.3,150,3000,8.0,20,0.2671132905754023,0.5480479332793293,322
Random,0.2,150,3000,8.0,20,0.19820988584258933,0.526478341588311,1061
Random,0.25,150,3000,8.0,20,0.21839315483147467,0.5062683510185709,532
Random,0.3,150,3000,8.0,20,0.25078116819651775,0.5302378283046685,257
HighestRedundancy,0.2,150,3000,8.0,20,0.22201623162576073,0.5097031416634721,1685
HighestRedundancy,0.25,150,3000,8.0,20,0.24730886576555258,0.5273330172026871,1151
HighestRedundancy,0.3,150,3000,8.0,20,0.2815696330445855,0.5575487200878383,777
Greedy,0.2,200,3000,8.0,20,0.1736863457057936,0.41453349892608643,1160
Greedy,0.25,200,3000,8.0,20,0.1736863457057936,0.41453349892608643,439
Greedy,0.3,200,3000,8.0,20,0.1736863457057936,0.41453349892608643,102
Ranking,0.2,200,3000,8.0,20,0.1876589216549898,0.41041875833159214,885
Ranking,0.25,200,3000,8.0,20,0.2130672667074307,0.40058320201471387,135
Ranking,0.3,200,3000,8.0,20,0.2582737446006502,0.34543388505448736,12
Random,0.2,200,3000,8.0,20,0.16009829465401848,0.3708709489091593,237
Random,0.25,200,3000,8.0,20,0.18587835155771548,0.3577072665340645,25
Random,0.3,200,3000,8.0,20,0.21557658226231566,0.2999888297478694,0
HighestRedundancy,0.2,200,3000,8.0,20,0.17948698267192117,0.35157854102695185,623
HighestRedundancy,0.25,200,3000,8.0,20,0.21599721405596845,0.360845309162246,258
HighestRedundancy,0.3,200,3000,8.0,20,0.2580591579961551,0.3835075013490906,80
Greedy,0.2,250,3000,8.0,20,0.15496035134404992,0.36406938357040874,851
Greedy,0.25,250,3000,8.0,20,0.15496035134404992,0.36406938357040874,245
Greedy,0.3,250,3000,8.0,20,0.15496035134404992,0.36406938357040874,40
Ranking,0.2,250,3000,8.0,20,0.1728922666595489,0.3449551264487168,373
Ranking,0.25,250,3000,8.0,20,0.2088130270633473,0.3091344139359036,12
Ranking,0.3,250,3000,8.0,20,0.25655700586491614,0.29998843080501186,0
Random,0.2,250,3000,8.0,20,0.1494035350825689,0.2842279721541962,62
Random,0.25,250,3000,8.0,20,0.17853443902980254,0.2499725427443027,0
