strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.2,150,3000,8.0,20,1.0843677159455691,2.390170053546294,2681
Greedy,0.25,150,3000,8.0,20,1.0843677159455691,2.390170053546294,2613
Greedy,0.3,150,3000,8.0,20,1.0843677159455691,2.390170053546294,2570
Ranking,0.2,150,3000,8.0,20,1.1716303274873334,2.546751894130384,2756
Ranking,0.25,150,3000,8.0,20,1.185586317315571,2.554887052886193,2733
Ranking,0.3,150,3000,8.0,20,1.2302542398053202,2.5947107208037767,2724
Random,0.2,150,3000,8.0,20,1.1588771336496269,2.4570707380023373,2760
Random,0.25,150,3000,8.0,20,1.1932013841070883,2.512677240928349,2740
Random,0.3,150,3000,8.0,20,1.2225902990807063,2.543628948338287,2709
HighestRedundancy,0.2,150,3000,8.0,20,1.1808129367128524,2.526355063138552,2769
HighestRedundancy,0.25,150,3000,8.0,20,1.2036274236993763,2.580765905432954,2743
HighestRedundancy,0.3,150,3000,8.0,20,1.2288710865405317,2.549252473177976,2733
Greedy,0.2,200,3000,8.0,20,0.11816478871565492,0.43828998289071386,445
Greedy,0.25,200,3000,8.0,20,0.11816478871565492,0.43828998289071386,193
Greedy,0.3,200,3000,8.0,20,0.11816478871565492,0.43828998289071386,79
Ranking,0.2,200,3000,8.0,20,0.1835044598252789,0.48457724430092697,806
Ranking,0.25,200,3000,8.0,20,0.22202976559170884,0.5080768197041975,620
Ranking,0.3,200,3000,8.0,20,0.2629502702670831,0.5381271931168994,470
Random,0.2,200,3000,8.0,20,0.17246445762834153,0.4335518575927114,709
Random,0.25,200,3000,8.0,20,0.21050070381242503,0.47884400948433115,547
Random,0.3,200,3000,8.0,20,0.2500326431948106,0.4995335749405597,414
HighestRedundancy,0.2,200,3000,8.0,20,0.17550392794972344,0.46066994254391924,669
HighestRedundancy,0.25,200,3000,8.0,20,0.21660158838775412,0.5102201505468648,505
HighestRedundancy,0.3,200,3000,8.0,20,0.2608286213220591,0.5465481047585758,471
Greedy,0.2,250,3000,8.0,20,0.06424330839488923,0.3333708458919278,79
Greedy,0.25,250,3000,8.0,20,0.06424330839488923,0.3333708458919278,18
Greedy,0.3,250,3000,8.0,20,0.06424330839488923,0.3333708458919278,5
Ranking,0.2,250,3000,8.0,20,0.156318272109077,0.3776985470491062,131
Ranking,0.25,250,3000,8.0,20,0.20083961395556768,0.45106530098215913,103
Ranking,0.3,250,3000,8.0,20,0.24378113064996854,0.36280538258604506,14
Random,0.2,250,3000,8.0,20,0.1371567943852225,0.30297343694905543,48
Random,0.25,250,3000,8.0,20,0.17179314696142942,0.30553644815561104,11
Random,0.3,250,3000,8.0,20,0.20364280799271647,0.3442042030271637,3
HighestRedundancy,0.2,250,3000,8.0,20,0.14937324429497456,0.2925035334543007,20
HighestRedundancy,0.25,250,3000,8.0,20,0.192140653668046,0.24999946195013098,0
HighestRedundancy,0.3,250,3000,8.0,20,0.23768033530507646,0.2999985778844897,0
Greedy,0.2,300,3000,8.0,20,0.046355978494305276,0.2772161332311259,17
Greedy,0.25,300,3000,8.0,20,0.046355978494305276,0.2772161332311259,4
Greedy,0.3,300,3000,8.0,20,0.046355978494305276,0.2772161332311259,0
Ranking,0.2,300,3000,8.0,20,0.15243991732264456,0.27783748140253517,41
Ranking,0.25,300,3000,8.0,20,0.19626972106586857,0.3227529503164756,9
Ranking,0.3,300,3000,8.0,20,0.24338948961054185,0.29999527365358547,0
Random,0.2,300,3000,8.0,20,0.13243084715566872,0.21169351370321948,6
Random,0.25,300,3000,8.0,20,0.1645515836912801,0.24999753350120246,0
Random,0.3,300,3000,8.0,20,0.19729081325364442,0.29989883348078833,0
HighestRedundancy,0.2,300,3000,8.0,20,0.14729508454176005,0.1999991151294815,0
HighestRedundancy,0.25,300,3000,8.0,20,0.19252477470484708,0.24997571160774382,0
HighestRedundancy,0.3,300,3000,8.0,20,0.23643152199115583,0.2999751973366122,0
Greedy,0.2,350,3000,8.0,20,0.038809681561683684,0.2438706477306969,7
Greedy,0.25,350,3000,8.0,20,0.038809681561683684,0.2438706477306969,0
Greedy,0.3,350,3000,8.0,20,0.038809681561683684,0.2438706477306969,0
Ranking,0.2,350,3000,8.0,20,0.15119080324095846,0.2401790347740855,7
Ranking,0.25,350,3000,8.0,20,0.19535321320716803,0.24997952391613606,0
Ranking,0.3,350,3000,8.0,20,0.24288058003072718,0.29991524037595185,0
