strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.25,400,3177,7.985555555555556,30,0.17804582510188507,0.33489290210702266,600
Ranking,0.25,400,3177,7.985555555555556,30,0.215181899366209,0.28244663213861304,52
Random,0.25,400,3177,7.985555555555556,30,0.1895664888672444,0.2909960219296034,36
HighestRedundancy,0.25,400,3177,7.985555555555556,30,0.2207469375910571,0.32370218865578915,343
Greedy,0.25,405,3177,7.985555555555556,30,0.17694196092684444,0.33489290210702266,579
Ranking,0.25,405,3177,7.985555555555556,30,0.21575398085518652,0.28203733969125544,77
Random,0.25,405,3177,7.985555555555556,30,0.1887465676257263,0.28265368353289033,25
HighestRedundancy,0.25,405,3177,7.985555555555556,30,0.21827553177519599,0.3173113993542834,235
Greedy,0.25,410,3177,7.985555555555556,30,0.17267632043914632,0.34733331695017855,505
Ranking,0.25,410,3177,7.985555555555556,30,0.21545600132325665,0.2801514596626384,33
Random,0.25,410,3177,7.985555555555556,30,0.18774207691869366,0.27676736091875426,13
HighestRedundancy,0.25,410,3177,7.985555555555556,30,0.21729427224635622,0.3063009704927289,197
Greedy,0.25,415,3177,7.985555555555556,30,0.17544909793841992,0.34733331695017855,538
Ranking,0.25,415,3177,7.985555555555556,30,0.21639599732645184,0.2769419322549512,3
Random,0.25,415,3177,7.985555555555556,30,0.1877723883414551,0.2593514445974386,4
HighestRedundancy,0.25,415,3177,7.985555555555556,30,0.21847799929903075,0.32368143663834253,191
Greedy,0.25,420,3177,7.985555555555556,30,0.17495711798633365,0.34733331695017855,509
Ranking,0.25,420,3177,7.985555555555556,30,0.2153093960878533,0.26239506327686557,4
Random,0.25,420,3177,7.985555555555556,30,0.18547130622931512,0.26710405868933895,9
HighestRedundancy,0.25,420,3177,7.985555555555556,30,0.2163348934783663,0.3092182998563605,143
Greedy,0.25,425,3177,7.985555555555556,30,0.17330924113743892,0.34657899897653943,491
Ranking,0.25,425,3177,7.985555555555556,30,0.21529072052243073,0.24999133278361757,0
Random,0.25,425,3177,7.985555555555556,30,0.185091803747813,0.27036921760111365,7
HighestRedundancy,0.25,425,3177,7.985555555555556,30,0.21626471844909384,0.29584219716894716,128
Greedy,0.25,430,3177,7.985555555555556,30,0.1716186462270095,0.3270142992086342,437
Ranking,0.25,430,3177,7.985555555555556,30,0.21523076010061112,0.2499856556523033,0
Random,0.25,430,3177,7.985555555555556,30,0.18472122425831353,0.2739117481121638,1
HighestRedundancy,0.25,430,3177,7.985555555555556,30,0.21635122525012462,0.3036935798348711,133
Greedy,0.25,435,3177,7.985555555555556,30,0.17065096924781717,0.32445282012711846,410
Ranking,0.25,435,3177,7.985555555555556,30,0.21601310266142001,0.24999023776237256,0
Random,0.25,435,3177,7.985555555555556,30,0.18283116562110277,0.2608004854436494,2
HighestRedundancy,0.25,435,3177,7.985555555555556,30,0.21526426537859744,0.281677754250299,99
Greedy,0.25,440,3177,7.985555555555556,30,0.17048460940753568,0.32055633439394426,414
Ranking,0.25,440,3177,7.985555555555556,30,0.2148926171017311,0.24999138811545088,0
Random,0.25,440,3177,7.985555555555556,30,0.18443078272020713,0.2879928917164448,5
HighestRedundancy,0.25,440,3177,7.985555555555556,30,0.2153130953389613,0.2904231912826918,97
Greedy,0.25,445,3177,7.985555555555556,30,0.1691153369579908,0.318017672922327,369
Ranking,0.25,445,3177,7.985555555555556,30,0.21463337836159319,0.2499887867805762,0
Random,0.25,445,3177,7.985555555555556,30,0.18372279680462988,0.2646994947725204,2
HighestRedundancy,0.25,445,3177,7.985555555555556,30,0.2144645823951549,0.2810481255532019,54
Greedy,0.25,450,3177,7.985555555555556,30,0.16815284746672313,0.31556030256152967,341
Ranking,0.25,450,3177,7.985555555555556,30,0.21546218352465155,0.24997416876731987,0
Random,0.25,450,3177,7.985555555555556,30,0.1794102070846331,0.24999007389523178,0
HighestRedundancy,0.25,450,3177,7.985555555555556,30,0.21479923775190077,0.28282105975497734,51
Greedy,0.25,455,3177,7.985555555555556,30,0.16739257511341354,0.31471350513122226,332
Ranking,0.25,455,3177,7.985555555555556,30,0.21472617695310683,0.24999222468144588,0
Random,0.25,455,3177,7.985555555555556,30,0.1803552223506371,0.24999777302656587,0
HighestRedundancy,0.25,455,3177,7.985555555555556,30,0.2140384849959614,0.287597121898967,32
Greedy,0.25,460,3177,7.985555555555556,30,0.16660904039018967,0.3221643466182139,332
Ranking,0.25,460,3177,7.985555555555556,30,0.21523465581856782,0.2499887867805762,0
Random,0.25,460,3177,7.985555555555556,30,0.18017924181370926,0.24998694385131068,0
HighestRedundancy,0.25,460,3177,7.985555555555556,30,0.21446350234113024,0.27320242867347805,23
Greedy,0.25,465,3177,7.985555555555556,30,0.16277397561864698,0.31234563680527205,274
Ranking,0.25,465,3177,7.985555555555556,30,0.21522704333244316,0.24999713997246514,0
Random,0.25,465,3177,7.985555555555556,30,0.18204267400318946,0.24997881675096698,0
HighestRedundancy,0.25,465,3177,7.985555555555556,30,0.21411799089439554,0.27754479213884176,30
Greedy,0.25,470,3177,7.985555555555556,30,0.1614614704132967,0.3275275326574507,247
Ranking,0.25,470,3177,7.985555555555556,30,0.21523967588647674,0.24999413916656613,0
Random,0.25,470,3177,7.985555555555556,30,0.1796449244138221,0.24999668524139979,0
HighestRedundancy,0.25,470,3177,7.985555555555556,30,0.21394518519279707,0.2852337684017893,10
Greedy,0.25,475,3177,7.985555555555556,30,0.16199562443404547,0.3253415705545559,249
Ranking,0.25,475,3177,7.985555555555556,30,0.2144080260080567,0.24998881171399973,0
Random,0.25,475,3177,7.985555555555556,30,0.17922296262408685,0.24998287311416395,0
HighestRedundancy,0.25,475,3177,7.985555555555556,30,0.21407446907217784,0.2674728225786245,11
Greedy,0.25,480,3177,7.985555555555556,30,0.1642746420380776,0.32967039801914544,307
Ranking,0.25,480,3177,7.985555555555556,30,0.21543697366394832,0.24999872822552202,0
Random,0.25,480,3177,7.985555555555556,30,0.18049592049550733,0.24998611977049848,0
HighestRedundancy,0.25,480,3177,7.985555555555556,30,0.21303791702823918,0.26792624949462496,3
Greedy,0.25,485,3177,7.985555555555556,30,0.1608588217077476,0.33054545660947776,248
Ranking,0.25,485,3177,7.985555555555556,30,0.21588881595913387,0.249992791650312,0
Random,0.25,485,3177,7.985555555555556,30,0.18026582327886342,0.2528280798979835,1
HighestRedundancy,0.25,485,3177,7.985555555555556,30,0.21255952069765868,0.25358604577210575,1
Greedy,0.25,490,3177,7.985555555555556,30,0.16029348686167977,0.3335878493157748,249
Ranking,0.25,490,3177,7.985555555555556,30,0.21449781671057824,0.2499856556523033,0
Random,0.25,490,3177,7.985555555555556,30,0.17838622416116465,0.24997220510621815,0
HighestRedundancy,0.25,490,3177,7.985555555555556,30,0.21338192471720613,0.249994477247611,0
Greedy,0.25,495,3177,7.985555555555556,30,0.15895636595281268,0.332821157754555,221
Ranking,0.25,495,3177,7.985555555555556,30,0.21458095745479894,0.24999759709770242,0
Random,0.25,495,3177,7.985555555555556,30,0.17619500238455682,0.24998222569982212,0
HighestRedundancy,0.25,495,3177,7.985555555555556,30,0.21234677008065414,0.24999930995604774,0
Greedy,0.25,500,3177,7.985555555555556,30,0.1596809003391448,0.3318697497262123,226
Ranking,0.25,500,3177,7.985555555555556,30,0.2153308099990491,0.24999868362498276,0
Random,0.25,500,3177,7.985555555555556,30,0.17772399279293966,0.24996064753117178,0
HighestRedundancy,0.25,500,3177,7.985555555555556,30,0.21371159178321578,0.24999605244477247,0
