strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.3,450,3946,7.9719444444444445,30,0.18166630508263226,0.3529887392992733,143
Ranking,0.3,450,3946,7.9719444444444445,30,0.26525984421707616,0.29999833980448964,0
Random,0.3,450,3946,7.9719444444444445,30,0.21342932839480486,0.299986198586212,0
HighestRedundancy,0.3,450,3946,7.9719444444444445,30,0.26270140047273244,0.3339975937188926,54
Greedy,0.3,455,3946,7.9719444444444445,30,0.1817880487097896,0.35707087780113234,137
Ranking,0.3,455,3946,7.9719444444444445,30,0.2648105561551695,0.29999841499923924,0
Random,0.3,455,3946,7.9719444444444445,30,0.21299667202074454,0.29992731048121096,0
HighestRedundancy,0.3,455,3946,7.9719444444444445,30,0.2637552035799966,0.3460060609372844,43
Greedy,0.3,460,3946,7.9719444444444445,30,0.18098890223850794,0.3666883713350354,148
Ranking,0.3,460,3946,7.9719444444444445,30,0.26519597591992866,0.2999852809826381,0
Random,0.3,460,3946,7.9719444444444445,30,0.2112420062296258,0.2999940579925957,0
HighestRedundancy,0.3,460,3946,7.9719444444444445,30,0.2622948371696227,0.3454998542363354,24
Greedy,0.3,465,3946,7.9719444444444445,30,0.17853825350943245,0.36324396285803806,111
Ranking,0.3,465,3946,7.9719444444444445,30,0.2652959143280962,0.2999956830964902,0
Random,0.3,465,3946,7.9719444444444445,30,0.21127717179200722,0.2999404838093661,0
HighestRedundancy,0.3,465,3946,7.9719444444444445,30,0.26233443325547834,0.3109788817413106,2
Greedy,0.3,470,3946,7.9719444444444445,30,0.17755167440267372,0.35516144524064963,95
Ranking,0.3,470,3946,7.9719444444444445,30,0.2656656977733759,0.2999924651924457,0
Random,0.3,470,3946,7.9719444444444445,30,0.21060927469949278,0.29991493739293335,0
HighestRedundancy,0.3,470,3946,7.9719444444444445,30,0.2618029376981141,0.2999933879998662,0
Greedy,0.3,475,3946,7.9719444444444445,30,0.1764705116356749,0.3563333674034603,93
Ranking,0.3,475,3946,7.9719444444444445,30,0.26457525776380164,0.2999855949556183,0
Random,0.3,475,3946,7.9719444444444445,30,0.20986740049439875,0.2999720682093814,0
HighestRedundancy,0.3,475,3946,7.9719444444444445,30,0.26158099522833905,0.2999784370190961,0
Greedy,0.3,480,3946,7.9719444444444445,30,0.17645151114539273,0.3563333674034603,94
Ranking,0.3,480,3946,7.9719444444444445,30,0.2656621815695524,0.29998334786946707,0
Random,0.3,480,3946,7.9719444444444445,30,0.2107886793065686,0.2999841732853854,0
HighestRedundancy,0.3,480,3946,7.9719444444444445,30,0.2613987568443576,0.29999771090719485,0
Greedy,0.3,485,3946,7.9719444444444445,30,0.1764376452050275,0.3563333674034603,103
Ranking,0.3,485,3946,7.9719444444444445,30,0.26536823384505726,0.2999855949556183,0
Random,0.3,485,3946,7.9719444444444445,30,0.21091995505377423,0.29995452106753184,0
HighestRedundancy,0.3,485,3946,7.9719444444444445,30,0.26243398185825245,0.2999516431982544,0
Greedy,0.3,490,3946,7.9719444444444445,30,0.17511775838239652,0.3451919911671662,67
Ranking,0.3,490,3946,7.9719444444444445,30,0.26490711979393355,0.2999937533402556,0
Random,0.3,490,3946,7.9719444444444445,30,0.20980492107648888,0.29999463131892573,0
HighestRedundancy,0.3,490,3946,7.9719444444444445,30,0.2616328826159393,0.29999592219330906,0
Greedy,0.3,495,3946,7.9719444444444445,30,0.17356912580184866,0.3563333674034603,55
Ranking,0.3,495,3946,7.9719444444444445,30,0.2656911588270422,0.29997275022301945,0
Random,0.3,495,3946,7.9719444444444445,30,0.20804656271669242,0.2999011255214271,0
HighestRedundancy,0.3,495,3946,7.9719444444444445,30,0.26168475377330735,0.2999954055853841,0
Greedy,0.3,500,3946,7.9719444444444445,30,0.17349382764022753,0.3563333674034603,73
Ranking,0.3,500,3946,7.9719444444444445,30,0.26441473425112194,0.29997341605684624,0
Random,0.3,500,3946,7.9719444444444445,30,0.20905234349571586,0.2999207057628925,0
HighestRedundancy,0.3,500,3946,7.9719444444444445,30,0.26161872808346875,0.2999895360578547,0
