strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.3,350,3946,7.9719444444444445,30,0.2054582748438204,0.41442073384595424,698
Ranking,0.3,350,3946,7.9719444444444445,30,0.27366061332330166,0.4153313948033367,537
Random,0.3,350,3946,7.9719444444444445,30,0.23354943140750006,0.35136765295180655,77
HighestRedundancy,0.3,350,3946,7.9719444444444445,30,0.282651891558998,0.4869594078539236,995
Greedy,0.3,355,3946,7.9719444444444445,30,0.20490876529519123,0.42046168928906835,686
Ranking,0.3,355,3946,7.9719444444444445,30,0.2712504525454846,0.42436958019161075,377
Random,0.3,355,3946,7.9719444444444445,30,0.23130259947805662,0.3492354880075789,27
HighestRedundancy,0.3,355,3946,7.9719444444444445,30,0.278816298480348,0.4502008471898782,879
Greedy,0.3,360,3946,7.9719444444444445,30,0.20012368450325016,0.40624020340918415,570
Ranking,0.3,360,3946,7.9719444444444445,30,0.26700477597279565,0.3731245894606582,201
Random,0.3,360,3946,7.9719444444444445,30,0.2323169742294688,0.3263094734466896,23
HighestRedundancy,0.3,360,3946,7.9719444444444445,30,0.2783417583769837,0.4545223371544427,816
Greedy,0.3,365,3946,7.9719444444444445,30,0.1998736024786804,0.3993616519014239,530
Ranking,0.3,365,3946,7.9719444444444445,30,0.2674005816327004,0.3827052062169211,167
Random,0.3,365,3946,7.9719444444444445,30,0.2303371602988643,0.32228913974878204,10
HighestRedundancy,0.3,365,3946,7.9719444444444445,30,0.2777024580219599,0.45420183067780123,813
Greedy,0.3,370,3946,7.9719444444444445,30,0.19842891202201174,0.3881519595283821,509
Ranking,0.3,370,3946,7.9719444444444445,30,0.2666625578134857,0.37049037052415884,84
Random,0.3,370,3946,7.9719444444444445,30,0.22741502697487637,0.3465469037430815,10
HighestRedundancy,0.3,370,3946,7.9719444444444445,30,0.27603074744837314,0.4582335756706934,692
Greedy,0.3,375,3946,7.9719444444444445,30,0.19598515660947077,0.3822561997784425,440
Ranking,0.3,375,3946,7.9719444444444445,30,0.26725983998806097,0.3629870289851964,101
Random,0.3,375,3946,7.9719444444444445,30,0.22614584072014646,0.314944163024482,4
HighestRedundancy,0.3,375,3946,7.9719444444444445,30,0.2742195978328113,0.40800044337738717,663
Greedy,0.3,380,3946,7.9719444444444445,30,0.1945808566022909,0.3804925994314353,390
Ranking,0.3,380,3946,7.9719444444444445,30,0.2669016618141211,0.3675637302904978,139
Random,0.3,380,3946,7.9719444444444445,30,0.22575482515247214,0.29997538990234285,0
HighestRedundancy,0.3,380,3946,7.9719444444444445,30,0.2746272564449156,0.4419481446755735,637
Greedy,0.3,385,3946,7.9719444444444445,30,0.19270209713954417,0.3706143749292472,402
Ranking,0.3,385,3946,7.9719444444444445,30,0.26533523159648537,0.3445264160232385,8
Random,0.3,385,3946,7.9719444444444445,30,0.22154872531522032,0.32709715824801633,2
HighestRedundancy,0.3,385,3946,7.9719444444444445,30,0.2727615038644614,0.41373119891475973,551
Greedy,0.3,390,3946,7.9719444444444445,30,0.19234320294718166,0.37100703140212177,376
Ranking,0.3,390,3946,7.9719444444444445,30,0.26481339061927545,0.3156641038665231,2
Random,0.3,390,3946,7.9719444444444445,30,0.22365228791702074,0.312119353092294,3
HighestRedundancy,0.3,390,3946,7.9719444444444445,30,0.2697686768257169,0.4058200512830026,454
Greedy,0.3,395,3946,7.9719444444444445,30,0.1922017424220372,0.36650974765779926,370
Ranking,0.3,395,3946,7.9719444444444445,30,0.2646728733190511,0.29999941648997147,0
Random,0.3,395,3946,7.9719444444444445,30,0.22269753087121485,0.299970441362493,0
HighestRedundancy,0.3,395,3946,7.9719444444444445,30,0.2696570363127439,0.40800044337738717,471
Greedy,0.3,400,3946,7.9719444444444445,30,0.18961761167883184,0.37241492206126925,340
Ranking,0.3,400,3946,7.9719444444444445,30,0.26516683031409577,0.2999972752820252,0
Random,0.3,400,3946,7.9719444444444445,30,0.22270906714899708,0.29998552423272684,0
HighestRedundancy,0.3,400,3946,7.9719444444444445,30,0.27102309916157885,0.40128181930567114,453
