strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.3,450,3151,7.990555555555556,30,0.14960866659540017,0.3426250916330117,39
Ranking,0.3,450,3151,7.990555555555556,30,0.2611043323695857,0.299984829130675,0
Random,0.3,450,3151,7.990555555555556,30,0.20271251973066537,0.2999826020167735,0
HighestRedundancy,0.3,450,3151,7.990555555555556,30,0.2535364508715681,0.2999913041916602,0
Greedy,0.3,455,3151,7.990555555555556,30,0.14897610287011645,0.336249049703531,33
Ranking,0.3,455,3151,7.990555555555556,30,0.2605795482673582,0.2999969658316616,0
Random,0.3,455,3151,7.990555555555556,30,0.20485658650535468,0.2999985180872471,0
HighestRedundancy,0.3,455,3151,7.990555555555556,30,0.2538131796035665,0.29998564874582107,0
Greedy,0.3,460,3151,7.990555555555556,30,0.14825384786882334,0.3559535511479535,40
Ranking,0.3,460,3151,7.990555555555556,30,0.26130027516584803,0.2999860738986361,0
Random,0.3,460,3151,7.990555555555556,30,0.2045766899266121,0.29995470338521035,0
HighestRedundancy,0.3,460,3151,7.990555555555556,30,0.2532467445840543,0.29999133499673536,0
Greedy,0.3,465,3151,7.990555555555556,30,0.14797266236718595,0.3355514594320505,27
Ranking,0.3,465,3151,7.990555555555556,30,0.2610221972213453,0.2999847741881856,0
Random,0.3,465,3151,7.990555555555556,30,0.20308639947583887,0.29991563427497936,0
HighestRedundancy,0.3,465,3151,7.990555555555556,30,0.2537378390429438,0.29997243115297906,0
Greedy,0.3,470,3151,7.990555555555556,30,0.14735448704402454,0.34175787228181326,28
Ranking,0.3,470,3151,7.990555555555556,30,0.26134838708626845,0.2999918411213147,0
Random,0.3,470,3151,7.990555555555556,30,0.1991573703522324,0.29999937146792965,0
HighestRedundancy,0.3,470,3151,7.990555555555556,30,0.2541032089331883,0.299993754106507,0
Greedy,0.3,475,3151,7.990555555555556,30,0.14620873367067286,0.3400096416017487,27
Ranking,0.3,475,3151,7.990555555555556,30,0.2617805751248986,0.2999921694080061,0
Random,0.3,475,3151,7.990555555555556,30,0.20218494650084698,0.29999287870912994,0
HighestRedundancy,0.3,475,3151,7.990555555555556,30,0.25367092313627404,0.2999707068845012,0
Greedy,0.3,480,3151,7.990555555555556,30,0.14609247676968504,0.335893300795812,18
Ranking,0.3,480,3151,7.990555555555556,30,0.26102476449721274,0.29999988668737404,0
Random,0.3,480,3151,7.990555555555556,30,0.19961830156576624,0.29999712445024507,0
HighestRedundancy,0.3,480,3151,7.990555555555556,30,0.2530136730401981,0.29997073419237397,0
Greedy,0.3,485,3151,7.990555555555556,30,0.14585534750549387,0.3397252660322046,27
Ranking,0.3,485,3151,7.990555555555556,30,0.26101957025481737,0.29998060815807703,0
Random,0.3,485,3151,7.990555555555556,30,0.20345669944297196,0.2999780412314467,0
HighestRedundancy,0.3,485,3151,7.990555555555556,30,0.2541784702057417,0.29998287033277704,0
Greedy,0.3,490,3151,7.990555555555556,30,0.14555952002146683,0.3400096416017487,24
Ranking,0.3,490,3151,7.990555555555556,30,0.26142570368131357,0.2999997502850501,0
Random,0.3,490,3151,7.990555555555556,30,0.19882222691408666,0.2999976458359131,0
HighestRedundancy,0.3,490,3151,7.990555555555556,30,0.25330887705414595,0.2999706819866586,0
Greedy,0.3,495,3151,7.990555555555556,30,0.14499906850630953,0.33277173208616445,22
Ranking,0.3,495,3151,7.990555555555556,30,0.2615103924486063,0.29999965212984975,0
Random,0.3,495,3151,7.990555555555556,30,0.20340751494719717,0.29998886072503556,0
HighestRedundancy,0.3,495,3151,7.990555555555556,30,0.25340915392898616,0.29999292461276594,0
Greedy,0.3,500,3151,7.990555555555556,30,0.1443787134922849,0.3355514594320505,21
Ranking,0.3,500,3151,7.990555555555556,30,0.262210838604836,0.299999927344281,0
Random,0.3,500,3151,7.990555555555556,30,0.20188639180783147,0.2999419300940114,0
HighestRedundancy,0.3,500,3151,7.990555555555556,30,0.25301161349338247,0.29999293469138344,0
