strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.2,200,3000,8.0,20,0.1736863457057936,0.41453349892608643,1160
Ranking,0.2,200,3000,8.0,20,0.1876589216549898,0.41041875833159214,885
Random,0.2,200,3000,8.0,20,0.16009829465401848,0.3708709489091593,237
HighestRedundancy,0.2,200,3000,8.0,20,0.17948698267192117,0.35157854102695185,623
Greedy,0.2,205,3000,8.0,20,0.1674009660070194,0.41453349892608643,1055
Ranking,0.2,205,3000,8.0,20,0.18501281912314774,0.4008332082967646,796
Random,0.2,205,3000,8.0,20,0.15978592139162023,0.40522585277375955,263
HighestRedundancy,0.2,205,3000,8.0,20,0.1760774168033852,0.35091811383955096,515
Greedy,0.2,210,3000,8.0,20,0.16740276815245012,0.41269382699185936,1078
Ranking,0.2,210,3000,8.0,20,0.18338028903155357,0.3955667299825391,713
Random,0.2,210,3000,8.0,20,0.15876190551919298,0.36626342527124334,216
HighestRedundancy,0.2,210,3000,8.0,20,0.17132321099372072,0.3511646705694298,371
Greedy,0.2,215,3000,8.0,20,0.16306319888845222,0.3908063168172346,1002
Ranking,0.2,215,3000,8.0,20,0.17988940276747678,0.37240992962048275,610
Random,0.2,215,3000,8.0,20,0.15687519619442394,0.3677154368897619,184
HighestRedundancy,0.2,215,3000,8.0,20,0.17013458759206587,0.35147816900244006,310
Greedy,0.2,220,3000,8.0,20,0.16103064656711505,0.4044851376248879,989
Ranking,0.2,220,3000,8.0,20,0.18348081291332868,0.37085033317644445,765
Random,0.2,220,3000,8.0,20,0.15250615011073823,0.32395529271043244,106
HighestRedundancy,0.2,220,3000,8.0,20,0.168545550885944,0.35066764006466206,234
Greedy,0.2,225,3000,8.0,20,0.1624621662943336,0.3895373519750959,1002
Ranking,0.2,225,3000,8.0,20,0.1817971047417625,0.37747106507340317,685
Random,0.2,225,3000,8.0,20,0.15237985881216667,0.3075056299292092,105
HighestRedundancy,0.2,225,3000,8.0,20,0.16641716930802836,0.33386189390318655,168
Greedy,0.2,230,3000,8.0,20,0.16073485919603384,0.4044851376248879,989
Ranking,0.2,230,3000,8.0,20,0.1782433749297942,0.38327154270697983,577
Random,0.2,230,3000,8.0,20,0.15320664637257053,0.3553336522962695,106
HighestRedundancy,0.2,230,3000,8.0,20,0.16511078844155816,0.31255882963905673,142
Greedy,0.2,235,3000,8.0,20,0.15666514251689548,0.38821347073122636,887
Ranking,0.2,235,3000,8.0,20,0.17639581679775052,0.3659794204015811,483
Random,0.2,235,3000,8.0,20,0.14982572909617112,0.27859675185594046,57
HighestRedundancy,0.2,235,3000,8.0,20,0.16381245029733849,0.358447417580839,95
Greedy,0.2,240,3000,8.0,20,0.15731955195592134,0.3629909948848098,920
Ranking,0.2,240,3000,8.0,20,0.17581571229710505,0.38589686558762454,462
Random,0.2,240,3000,8.0,20,0.14895721952159768,0.2950549246377673,48
HighestRedundancy,0.2,240,3000,8.0,20,0.16370895638051733,0.29643882705192376,88
Greedy,0.2,245,3000,8.0,20,0.15595552811348173,0.37086708793530204,901
Ranking,0.2,245,3000,8.0,20,0.17308325899876514,0.362400920992022,397
Random,0.2,245,3000,8.0,20,0.15065115952097477,0.30085539116078985,41
HighestRedundancy,0.2,245,3000,8.0,20,0.16211068993851738,0.2545035949653829,59
Greedy,0.2,250,3000,8.0,20,0.15496035134404992,0.36406938357040874,851
Ranking,0.2,250,3000,8.0,20,0.1728922666595489,0.3449551264487168,373
Random,0.2,250,3000,8.0,20,0.1494035350825689,0.2842279721541962,62
HighestRedundancy,0.2,250,3000,8.0,20,0.1614901968190962,0.22949667404285465,18
