strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.3,300,3500,8.0,20,0.15530269144190284,0.37636695394817216,48
Ranking,0.3,300,3500,8.0,20,0.258565939029335,0.2999442270977472,0
Random,0.3,300,3500,8.0,20,0.20584760318086043,0.2999696550082347,0
HighestRedundancy,0.3,300,3500,8.0,20,0.2563078209312198,0.299985125840491,0
Greedy,0.3,305,3500,8.0,20,0.15323743396107573,0.3749995964473708,57
Ranking,0.3,305,3500,8.0,20,0.2594457888216983,0.29999208191964133,0
Random,0.3,305,3500,8.0,20,0.2048445773328509,0.29999620696166185,0
HighestRedundancy,0.3,305,3500,8.0,20,0.25489495578965987,0.2999872094153074,0
Greedy,0.3,310,3500,8.0,20,0.15397751189596573,0.3895305304146364,53
Ranking,0.3,310,3500,8.0,20,0.25829349717126093,0.29996434356401186,0
Random,0.3,310,3500,8.0,20,0.20492678282470878,0.29996606200158127,0
HighestRedundancy,0.3,310,3500,8.0,20,0.25474552350771557,0.29997609411879506,0
Greedy,0.3,315,3500,8.0,20,0.14979320020307754,0.3765108316413247,36
Ranking,0.3,315,3500,8.0,20,0.25868175831298684,0.2999494580119692,0
Random,0.3,315,3500,8.0,20,0.20250117462586717,0.2999641579806043,0
HighestRedundancy,0.3,315,3500,8.0,20,0.25448042326449394,0.2999960626189628,0
Greedy,0.3,320,3500,8.0,20,0.15034653016464905,0.37288145226661057,45
Ranking,0.3,320,3500,8.0,20,0.25846771041694633,0.2999962566555324,0
Random,0.3,320,3500,8.0,20,0.20300148507798682,0.29998450659867015,0
HighestRedundancy,0.3,320,3500,8.0,20,0.25332973223009886,0.2999892213731433,0
Greedy,0.3,325,3500,8.0,20,0.1476541179059902,0.35583996257998807,36
Ranking,0.3,325,3500,8.0,20,0.258570949692172,0.29997637628736756,0
Random,0.3,325,3500,8.0,20,0.2029832798402588,0.29997881228573653,0
HighestRedundancy,0.3,325,3500,8.0,20,0.25438845320023906,0.2999947662066329,0
Greedy,0.3,330,3500,8.0,20,0.14616376723292618,0.3673002705019248,40
Ranking,0.3,330,3500,8.0,20,0.25824646884967417,0.29999208191964133,0
Random,0.3,330,3500,8.0,20,0.2020196320824748,0.29995949971604546,0
HighestRedundancy,0.3,330,3500,8.0,20,0.2529376493646021,0.2999922520587613,0
Greedy,0.3,335,3500,8.0,20,0.14582177259817966,0.3578199299329393,40
Ranking,0.3,335,3500,8.0,20,0.25841826681641156,0.2999982477469339,0
Random,0.3,335,3500,8.0,20,0.2039640089267244,0.2998709119259465,0
HighestRedundancy,0.3,335,3500,8.0,20,0.2547436875914054,0.29999599637086727,0
Greedy,0.3,340,3500,8.0,20,0.1439285678511695,0.3596783793009075,30
Ranking,0.3,340,3500,8.0,20,0.2586358768955201,0.2999939524921953,0
Random,0.3,340,3500,8.0,20,0.20151869549609588,0.29981516232583305,0
HighestRedundancy,0.3,340,3500,8.0,20,0.25336556256237586,0.2999930894357173,0
Greedy,0.3,345,3500,8.0,20,0.14409991768323813,0.3533601290209226,29
Ranking,0.3,345,3500,8.0,20,0.2583083610872283,0.29999773373243943,0
Random,0.3,345,3500,8.0,20,0.2025804357514538,0.29996351994625875,0
HighestRedundancy,0.3,345,3500,8.0,20,0.2540575500833635,0.299964858825455,0
Greedy,0.3,350,3500,8.0,20,0.14207607946351977,0.3584107105678895,32
Ranking,0.3,350,3500,8.0,20,0.25827313967554943,0.29997085788748973,0
Random,0.3,350,3500,8.0,20,0.20233803602165218,0.2999717386153303,0
HighestRedundancy,0.3,350,3500,8.0,20,0.2525990829509573,0.2999921874610342,0
