strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.25,300,2500,8.0,20,0.09536049414995049,0.39255846565560826,152
Ranking,0.25,300,2500,8.0,20,0.21941840538121196,0.4693316977171506,525
Random,0.25,300,2500,8.0,20,0.2063595056272831,0.4826093905283856,472
HighestRedundancy,0.25,300,2500,8.0,20,0.22152216584107187,0.5000181580397389,532
Greedy,0.25,305,2500,8.0,20,0.09021182960601341,0.36973476385127396,130
Ranking,0.25,305,2500,8.0,20,0.21656952775279228,0.45319604521043155,425
Random,0.25,305,2500,8.0,20,0.20094752237421143,0.510000040795455,393
HighestRedundancy,0.25,305,2500,8.0,20,0.21160044898277214,0.4918321907583966,361
Greedy,0.25,310,2500,8.0,20,0.08467631841163997,0.36677993239167783,89
Ranking,0.25,310,2500,8.0,20,0.21340706937375908,0.4944486989360213,359
Random,0.25,310,2500,8.0,20,0.19242989474492975,0.4313379605865134,281
HighestRedundancy,0.25,310,2500,8.0,20,0.20790657513099936,0.46117527315391355,277
Greedy,0.25,315,2500,8.0,20,0.08131362054913542,0.3596364006577937,67
Ranking,0.25,315,2500,8.0,20,0.20672090159924264,0.4317587458043585,294
Random,0.25,315,2500,8.0,20,0.19151923119960765,0.44311265894402907,256
HighestRedundancy,0.25,315,2500,8.0,20,0.20389467500137504,0.41966646308766276,248
Greedy,0.25,320,2500,8.0,20,0.07656216354567272,0.3219611316866833,53
Ranking,0.25,320,2500,8.0,20,0.20729452177514826,0.4377677843270304,251
Random,0.25,320,2500,8.0,20,0.1863634470946186,0.4447773293597809,188
HighestRedundancy,0.25,320,2500,8.0,20,0.200958631003668,0.37614425107611354,185
Greedy,0.25,325,2500,8.0,20,0.07444600400927019,0.3219611316866833,50
Ranking,0.25,325,2500,8.0,20,0.20189725248473753,0.37955736328520007,158
Random,0.25,325,2500,8.0,20,0.18593325990589923,0.41235596708606437,178
HighestRedundancy,0.25,325,2500,8.0,20,0.19790783280752722,0.3726943170600475,96
Greedy,0.25,330,2500,8.0,20,0.07079266560493606,0.3125858220765038,23
Ranking,0.25,330,2500,8.0,20,0.20087853173246686,0.3757008579499086,120
Random,0.25,330,2500,8.0,20,0.18043858113001068,0.39200365706734197,99
HighestRedundancy,0.25,330,2500,8.0,20,0.19688964116756896,0.3714652328968614,72
Greedy,0.25,335,2500,8.0,20,0.0677520027972545,0.28829444051549474,15
Ranking,0.25,335,2500,8.0,20,0.1986990957298653,0.36022186050662036,94
Random,0.25,335,2500,8.0,20,0.17870067487554622,0.37841278378434895,90
HighestRedundancy,0.25,335,2500,8.0,20,0.19513992393883664,0.35292365929575664,44
Greedy,0.25,340,2500,8.0,20,0.0671134599695952,0.28829444051549474,17
Ranking,0.25,340,2500,8.0,20,0.19804756881086322,0.36583106914839386,60
Random,0.25,340,2500,8.0,20,0.17766823790131958,0.38105006559751886,77
HighestRedundancy,0.25,340,2500,8.0,20,0.19448020747799866,0.3468951698673842,32
Greedy,0.25,345,2500,8.0,20,0.06584943506217537,0.2900869463681959,16
Ranking,0.25,345,2500,8.0,20,0.1975700320357944,0.35454477843635795,41
Random,0.25,345,2500,8.0,20,0.1772007432283164,0.3388327631680711,46
HighestRedundancy,0.25,345,2500,8.0,20,0.1935189936031486,0.2709802639743504,8
Greedy,0.25,350,2500,8.0,20,0.06397357170158499,0.3002279372759642,11
Ranking,0.25,350,2500,8.0,20,0.1988599857099706,0.36541804975771264,60
Random,0.25,350,2500,8.0,20,0.17463639876769546,0.36443360480091885,29
HighestRedundancy,0.25,350,2500,8.0,20,0.19432327851036096,0.2954876702534434,8
Greedy,0.25,355,2500,8.0,20,0.06057900209880727,0.264327802209648,3
Ranking,0.25,355,2500,8.0,20,0.19737048411373706,0.3658628810667537,53
Random,0.25,355,2500,8.0,20,0.17475720962838828,0.3277850893661216,17
HighestRedundancy,0.25,355,2500,8.0,20,0.19348912083135475,0.29521538295120353,7
Greedy,0.25,360,2500,8.0,20,0.05753323833785936,0.2622053637930919,2
Ranking,0.25,360,2500,8.0,20,0.19618194621926657,0.29243458497911484,16
Random,0.25,360,2500,8.0,20,0.172557417769763,0.3323098240983817,16
HighestRedundancy,0.25,360,2500,8.0,20,0.19308634381742568,0.27421499729803117,6
Greedy,0.25,365,2500,8.0,20,0.056623952148677346,0.24735890551947345,0
Ranking,0.25,365,2500,8.0,20,0.1943181086308181,0.3074574842112003,17
Random,0.25,365,2500,8.0,20,0.17333155669232972,0.3384932594476294,16
HighestRedundancy,0.25,365,2500,8.0,20,0.1906475120255856,0.2656138757272392,3
Greedy,0.25,370,2500,8.0,20,0.054190260956631826,0.25005023568282214,1
Ranking,0.25,370,2500,8.0,20,0.195625226632864,0.2682585942198299,6
Random,0.25,370,2500,8.0,20,0.17013158899733366,0.3467545242801231,8
HighestRedundancy,0.25,370,2500,8.0,20,0.19364760813415277,0.2656632575150814,4
Greedy,0.25,375,2500,8.0,20,0.05231211296318014,0.24569464103972508,0
Ranking,0.25,375,2500,8.0,20,0.19492734474995177,0.3108904204569035,16
Random,0.25,375,2500,8.0,20,0.17047687520605234,0.2803861048304589,3
HighestRedundancy,0.25,375,2500,8.0,20,0.19228449282312698,0.24991959249649803,0
Greedy,0.25,380,2500,8.0,20,0.051203933512713275,0.23313521224656034,0
Ranking,0.25,380,2500,8.0,20,0.19547620112436545,0.25915927916118303,2
Random,0.25,380,2500,8.0,20,0.16990880655756177,0.24998876965868486,0
HighestRedundancy,0.25,380,2500,8.0,20,0.192809451614579,0.25183514673634644,1
Greedy,0.25,385,2500,8.0,20,0.05032346130413675,0.23313521224656034,0
Ranking,0.25,385,2500,8.0,20,0.194322763449079,0.28843723021641837,3
Random,0.25,385,2500,8.0,20,0.16816639113554033,0.32253623571843704,3
HighestRedundancy,0.25,385,2500,8.0,20,0.19360029125494393,0.24991769946065617,0
Greedy,0.25,390,2500,8.0,20,0.04892621119942226,0.23313521224656034,0
