strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.2,150,3500,8.0,20,0.3236541134493079,0.6237864349984692,3188
Greedy,0.25,150,3500,8.0,20,0.3236541134493079,0.6237864349984692,2886
Greedy,0.3,150,3500,8.0,20,0.3236541134493079,0.6237864349984692,2283
Ranking,0.2,150,3500,8.0,20,0.32829849984997617,0.6086809147199037,3195
Ranking,0.25,150,3500,8.0,20,0.32957829884995177,0.6399224359734539,2882
Ranking,0.3,150,3500,8.0,20,0.355775381129862,0.6492339257245323,2586
Random,0.2,150,3500,8.0,20,0.32357189648186613,0.585050098821455,3192
Random,0.25,150,3500,8.0,20,0.34007904127960187,0.6351326420266742,2996
Random,0.3,150,3500,8.0,20,0.35415016401648897,0.6136528444546923,2620
HighestRedundancy,0.2,150,3500,8.0,20,0.33232856204708805,0.6132968070588951,3213
HighestRedundancy,0.25,150,3500,8.0,20,0.3453492989742885,0.6297384792500758,3027
HighestRedundancy,0.3,150,3500,8.0,20,0.3700013813005856,0.6420589863751881,2805
Greedy,0.2,200,3500,8.0,20,0.18603276757732942,0.42354646387602096,1574
Greedy,0.25,200,3500,8.0,20,0.18603276757732942,0.42354646387602096,687
Greedy,0.3,200,3500,8.0,20,0.18603276757732942,0.42354646387602096,191
Ranking,0.2,200,3500,8.0,20,0.19744968074485938,0.4317906480053113,1326
Ranking,0.25,200,3500,8.0,20,0.22243609669296283,0.46980030655600735,432
Ranking,0.3,200,3500,8.0,20,0.25942974835322163,0.454305090117189,38
Random,0.2,200,3500,8.0,20,0.17336923153288686,0.46277055351129226,630
Random,0.25,200,3500,8.0,20,0.19668009383063761,0.44298066043389206,170
Random,0.3,200,3500,8.0,20,0.22724001187835083,0.4356471976915774,25
HighestRedundancy,0.2,200,3500,8.0,20,0.19712003698997893,0.4420134459456386,1333
HighestRedundancy,0.25,200,3500,8.0,20,0.232197217931138,0.43410141908498223,861
HighestRedundancy,0.3,200,3500,8.0,20,0.26769189490015555,0.41255729921797657,346
Greedy,0.2,250,3500,8.0,20,0.16448093342931697,0.37789786462335495,1140
Greedy,0.25,250,3500,8.0,20,0.16448093342931697,0.37789786462335495,384
Greedy,0.3,250,3500,8.0,20,0.16448093342931697,0.37789786462335495,84
Ranking,0.2,250,3500,8.0,20,0.17886448850028722,0.34767461002038963,641
Ranking,0.25,250,3500,8.0,20,0.21274948265872418,0.31173846335440103,28
Ranking,0.3,250,3500,8.0,20,0.25825288941961266,0.29999839211223883,0
Random,0.2,250,3500,8.0,20,0.1534172333505625,0.3073814460518965,126
Random,0.25,250,3500,8.0,20,0.17919466090364344,0.2813145890402521,7
Random,0.3,250,3500,8.0,20,0.20960887996875974,0.29998613106379524,0
HighestRedundancy,0.2,250,3500,8.0,20,0.17102586743710332,0.3392112179007833,364
HighestRedundancy,0.25,250,3500,8.0,20,0.212043939049587,0.31533704071070073,84
HighestRedundancy,0.3,250,3500,8.0,20,0.25691462507487733,0.32632784924772595,9
Greedy,0.2,300,3500,8.0,20,0.15530269144190284,0.37636695394817216,976
Greedy,0.25,300,3500,8.0,20,0.15530269144190284,0.37636695394817216,267
Greedy,0.3,300,3500,8.0,20,0.15530269144190284,0.37636695394817216,48
Ranking,0.2,300,3500,8.0,20,0.1721987815026463,0.3775869792016504,351
Ranking,0.25,300,3500,8.0,20,0.21063741334194283,0.24999869959188514,0
Ranking,0.3,300,3500,8.0,20,0.258565939029335,0.2999442270977472,0
Random,0.2,300,3500,8.0,20,0.14659604502889187,0.23943108973327218,20
Random,0.25,300,3500,8.0,20,0.174769272082244,0.24999190256553472,0
Random,0.3,300,3500,8.0,20,0.20584760318086043,0.2999696550082347,0
HighestRedundancy,0.2,300,3500,8.0,20,0.1618873295959801,0.22474675892287743,15
HighestRedundancy,0.25,300,3500,8.0,20,0.2097588891409169,0.2765998954731281,16
HighestRedundancy,0.3,300,3500,8.0,20,0.2563078209312198,0.299985125840491,0
Greedy,0.2,350,3500,8.0,20,0.14207607946351977,0.3584107105678895,759
Greedy,0.25,350,3500,8.0,20,0.14207607946351977,0.3584107105678895,187
Greedy,0.3,350,3500,8.0,20,0.14207607946351977,0.3584107105678895,32
Ranking,0.2,350,3500,8.0,20,0.16746623918272532,0.3216490571843085,114
Ranking,0.25,350,3500,8.0,20,0.21162705552681058,0.24999759364885463,0
Ranking,0.3,350,3500,8.0,20,0.25827313967554943,0.29997085788748973,0
Random,0.2,350,3500,8.0,20,0.14261019278286016,0.2455836698286352,11
Random,0.25,350,3500,8.0,20,0.17226265049861975,0.24986740037507987,0
Random,0.3,350,3500,8.0,20,0.20233803602165218,0.2999717386153303,0
HighestRedundancy,0.2,350,3500,8.0,20,0.1594539826596952,0.19999870896124888,0
HighestRedundancy,0.25,350,3500,8.0,20,0.2062921048790853,0.24999211821280914,0
HighestRedundancy,0.3,350,3500,8.0,20,0.2525990829509573,0.2999921874610342,0
Greedy,0.2,400,3500,8.0,20,0.13497778341257563,0.35431336758764664,671
Greedy,0.25,400,3500,8.0,20,0.13497778341257563,0.35431336758764664,152
Greedy,0.3,400,3500,8.0,20,0.13497778341257563,0.35431336758764664,15
Ranking,0.2,400,3500,8.0,20,0.16549016179072423,0.2966069340218024,34
Ranking,0.25,400,3500,8.0,20,0.2123200087889233,0.24997220489449387,0
Ranking,0.3,400,3500,8.0,20,0.2582091013236981,0.29999835975237,0
Random,0.2,400,3500,8.0,20,0.13910373535351794,0.23068620181525099,5
Random,0.25,400,3500,8.0,20,0.1703808770605291,0.24993988318503435,0
Random,0.3,400,3500,8.0,20,0.19968692755742262,0.29995728318350917,0
HighestRedundancy,0.2,400,3500,8.0,20,0.15871434641042184,0.1999941098145394,0
HighestRedundancy,0.25,400,3500,8.0,20,0.20496592729215923,0.24989476987719056,0
HighestRedundancy,0.3,400,3500,8.0,20,0.25073517361838965,0.29998353190246435,0
Greedy,0.2,450,3500,8.0,20,0.12537722933287523,0.3738488830423235,526
Greedy,0.25,450,3500,8.0,20,0.12537722933287523,0.3738488830423235,106
Greedy,0.3,450,3500,8.0,20,0.12537722933287523,0.3738488830423235,14
Ranking,0.2,450,3500,8.0,20,0.1641288095653735,0.2157320897230593,2
Ranking,0.25,450,3500,8.0,20,0.21092448339112693,0.24999479838455665,0
Ranking,0.3,450,3500,8.0,20,0.2583912500158899,0.2999939290338653,0
