strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.2,150,3500,8.0,20,3.4826565531736033,6.069516315974594,3328
Greedy,0.25,150,3500,8.0,20,3.4826565531736033,6.069516315974594,3312
Greedy,0.3,150,3500,8.0,20,3.4826565531736033,6.069516315974594,3295
Ranking,0.2,150,3500,8.0,20,3.5626347872663975,6.15204718721272,3347
Ranking,0.25,150,3500,8.0,20,3.5977276648051695,6.160395430604605,3341
Ranking,0.3,150,3500,8.0,20,3.612308124738412,6.212324134473365,3333
Random,0.2,150,3500,8.0,20,3.5543027557149927,6.155313071908664,3340
Random,0.25,150,3500,8.0,20,3.5752758030870058,6.151990681546158,3336
Random,0.3,150,3500,8.0,20,3.60226623751092,6.161043625384193,3334
HighestRedundancy,0.2,150,3500,8.0,20,3.5781864637510954,6.191265059911301,3342
HighestRedundancy,0.25,150,3500,8.0,20,3.5995776040909644,6.161104991519313,3341
HighestRedundancy,0.3,150,3500,8.0,20,3.6409666136308583,6.224999698378394,3334
Greedy,0.2,200,3500,8.0,20,1.954865804015344,3.447912377322563,3258
Greedy,0.25,200,3500,8.0,20,1.954865804015344,3.447912377322563,3236
Greedy,0.3,200,3500,8.0,20,1.954865804015344,3.447912377322563,3209
Ranking,0.2,200,3500,8.0,20,2.0295114760456365,3.518099145128981,3281
Ranking,0.25,200,3500,8.0,20,2.0492090493147153,3.544089156647264,3267
Ranking,0.3,200,3500,8.0,20,2.0881564677153857,3.6111748507406416,3267
Random,0.2,200,3500,8.0,20,2.027166504833848,3.5524781674560564,3287
Random,0.25,200,3500,8.0,20,2.052714537594246,3.540715113843277,3277
Random,0.3,200,3500,8.0,20,2.0933398740605176,3.5975736416306754,3267
HighestRedundancy,0.2,200,3500,8.0,20,2.0442597308325117,3.559071184487041,3291
HighestRedundancy,0.25,200,3500,8.0,20,2.05779697579323,3.552429305282437,3276
HighestRedundancy,0.3,200,3500,8.0,20,2.094450904850929,3.6398737011446247,3276
Greedy,0.2,250,3500,8.0,20,1.062008282651799,2.019934316760245,3034
Greedy,0.25,250,3500,8.0,20,1.062008282651799,2.019934316760245,2989
Greedy,0.3,250,3500,8.0,20,1.062008282651799,2.019934316760245,2936
Ranking,0.2,250,3500,8.0,20,1.1335904799692982,2.1089111953839463,3094
Ranking,0.25,250,3500,8.0,20,1.1611059500417522,2.1200837866080873,3077
Ranking,0.3,250,3500,8.0,20,1.2015960570033086,2.160142006655163,3077
Random,0.2,250,3500,8.0,20,1.1349179063818928,2.100772007166708,3093
Random,0.25,250,3500,8.0,20,1.171630554352787,2.1377252585314412,3085
Random,0.3,250,3500,8.0,20,1.1960884419189812,2.1367612542766343,3074
HighestRedundancy,0.2,250,3500,8.0,20,1.1470054564663192,2.1020202266904207,3106
HighestRedundancy,0.25,250,3500,8.0,20,1.1793043598586395,2.1559800816299495,3092
HighestRedundancy,0.3,250,3500,8.0,20,1.2102943266154615,2.174205558824717,3077
Greedy,0.2,300,3500,8.0,20,0.5332273343117772,1.1866340622077822,2695
Greedy,0.25,300,3500,8.0,20,0.5332273343117772,1.1866340622077822,2598
Greedy,0.3,300,3500,8.0,20,0.5332273343117772,1.1866340622077822,2480
Ranking,0.2,300,3500,8.0,20,0.6183642854806034,1.291248202608265,2821
Ranking,0.25,300,3500,8.0,20,0.6482743175891192,1.308227038268011,2794
Ranking,0.3,300,3500,8.0,20,0.68984133099929,1.3704977195389239,2779
