strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.2,150,3500,8.0,20,1.9235496601140223,4.093692740318601,3279
Greedy,0.25,150,3500,8.0,20,1.9235496601140223,4.093692740318601,3246
Greedy,0.3,150,3500,8.0,20,1.9235496601140223,4.093692740318601,3203
Ranking,0.2,150,3500,8.0,20,1.9861710562045252,4.1500970348871835,3313
Ranking,0.25,150,3500,8.0,20,2.0360752951738093,4.235276356761962,3307
Ranking,0.3,150,3500,8.0,20,2.0703253028075332,4.276711230019195,3291
Random,0.2,150,3500,8.0,20,1.9962596955986625,4.157203990996685,3315
Random,0.25,150,3500,8.0,20,2.033815495561506,4.236209086000852,3309
Random,0.3,150,3500,8.0,20,2.059616629200658,4.24945942007709,3300
HighestRedundancy,0.2,150,3500,8.0,20,1.9946607912020704,4.194021335748337,3315
HighestRedundancy,0.25,150,3500,8.0,20,2.0453027086435416,4.231539310416859,3319
HighestRedundancy,0.3,150,3500,8.0,20,2.0617772457686625,4.262481693096122,3306
Greedy,0.2,200,3500,8.0,20,0.45033876545268264,1.0904831890569429,2781
Greedy,0.25,200,3500,8.0,20,0.45033876545268264,1.0904831890569429,2530
Greedy,0.3,200,3500,8.0,20,0.45033876545268264,1.0904831890569429,2282
Ranking,0.2,200,3500,8.0,20,0.527951707076122,1.161717295602155,3043
Ranking,0.25,200,3500,8.0,20,0.5762377112073189,1.2292300796539606,3010
Ranking,0.3,200,3500,8.0,20,0.6042140738411206,1.2400426760654502,2950
Random,0.2,200,3500,8.0,20,0.5141514513247704,1.1476670431866423,3031
Random,0.25,200,3500,8.0,20,0.5699811508599019,1.2070924185652876,3016
Random,0.3,200,3500,8.0,20,0.5990569256300224,1.2338123640176826,2952
HighestRedundancy,0.2,200,3500,8.0,20,0.5125252462854414,1.1615376083225657,3014
HighestRedundancy,0.25,200,3500,8.0,20,0.5730495390218706,1.216410588525034,2993
