strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.3,250,2577,7.988333333333333,30,0.22937185834947973,0.4640415560322974,832
Ranking,0.3,250,2577,7.988333333333333,30,0.2802798743016754,0.4347062419666044,584
Random,0.3,250,2577,7.988333333333333,30,0.2546107296720779,0.4195367714553571,555
HighestRedundancy,0.3,250,2577,7.988333333333333,30,0.29094631985626346,0.4828296550157186,839
Greedy,0.3,255,2577,7.988333333333333,30,0.22055747748496657,0.45016462971429816,769
Ranking,0.3,255,2577,7.988333333333333,30,0.2765756262761419,0.42437266102613885,530
Random,0.3,255,2577,7.988333333333333,30,0.244796405419023,0.3857641186647681,391
HighestRedundancy,0.3,255,2577,7.988333333333333,30,0.2866348658997154,0.4699779218769975,785
Greedy,0.3,260,2577,7.988333333333333,30,0.2148756175368131,0.4334281257874396,703
Ranking,0.3,260,2577,7.988333333333333,30,0.2750117177293061,0.4074161283473545,500
Random,0.3,260,2577,7.988333333333333,30,0.24489673141338772,0.3929185290084386,370
HighestRedundancy,0.3,260,2577,7.988333333333333,30,0.2852048323987996,0.453531559452852,747
Greedy,0.3,265,2577,7.988333333333333,30,0.21202488119271576,0.43253580982155504,654
Ranking,0.3,265,2577,7.988333333333333,30,0.2760956645569966,0.4118122591231403,491
Random,0.3,265,2577,7.988333333333333,30,0.23716865588261343,0.3777972266564677,194
HighestRedundancy,0.3,265,2577,7.988333333333333,30,0.28025897336612515,0.45494674903681853,676
Greedy,0.3,270,2577,7.988333333333333,30,0.20639663297971148,0.43792787868880517,585
Ranking,0.3,270,2577,7.988333333333333,30,0.2729139931653704,0.4127066493768641,462
Random,0.3,270,2577,7.988333333333333,30,0.23612294101738276,0.3538876303473066,140
HighestRedundancy,0.3,270,2577,7.988333333333333,30,0.2780358734349591,0.446523480615726,610
Greedy,0.3,275,2577,7.988333333333333,30,0.20268608945433345,0.4100141105938787,539
Ranking,0.3,275,2577,7.988333333333333,30,0.26899691133845266,0.3900015830802087,380
Random,0.3,275,2577,7.988333333333333,30,0.23449337582149296,0.3615395618244275,103
HighestRedundancy,0.3,275,2577,7.988333333333333,30,0.2769901900556885,0.46159629739687275,602
Greedy,0.3,280,2577,7.988333333333333,30,0.2002053762434113,0.40415783599175603,523
Ranking,0.3,280,2577,7.988333333333333,30,0.2672508049443295,0.3805543704954192,291
Random,0.3,280,2577,7.988333333333333,30,0.22870831676163042,0.33338167793468254,34
HighestRedundancy,0.3,280,2577,7.988333333333333,30,0.27664786126145907,0.44577242079497037,566
Greedy,0.3,285,2577,7.988333333333333,30,0.19473259497706685,0.39483616524047593,469
Ranking,0.3,285,2577,7.988333333333333,30,0.2682745449358233,0.3964500607038076,263
Random,0.3,285,2577,7.988333333333333,30,0.22944866869979005,0.33227229633838873,39
HighestRedundancy,0.3,285,2577,7.988333333333333,30,0.27454206698934647,0.4362549722120469,500
Greedy,0.3,290,2577,7.988333333333333,30,0.1909272769182763,0.38845354147882694,408
Ranking,0.3,290,2577,7.988333333333333,30,0.26545375331169996,0.3757095395242168,191
Random,0.3,290,2577,7.988333333333333,30,0.22752274370379222,0.3341890564635247,13
HighestRedundancy,0.3,290,2577,7.988333333333333,30,0.2709012830314576,0.4264587262627929,468
Greedy,0.3,295,2577,7.988333333333333,30,0.18917066741744293,0.38845354147882694,376
Ranking,0.3,295,2577,7.988333333333333,30,0.2635956360078489,0.36463991654795475,151
Random,0.3,295,2577,7.988333333333333,30,0.2265754558900318,0.32604229345372177,9
HighestRedundancy,0.3,295,2577,7.988333333333333,30,0.27014147955305245,0.42723750835355834,444
Greedy,0.3,300,2577,7.988333333333333,30,0.1872806254759857,0.383195473283359,346
Ranking,0.3,300,2577,7.988333333333333,30,0.2616776604457869,0.3738349930693851,146
Random,0.3,300,2577,7.988333333333333,30,0.22470803235813563,0.3282425723534495,9
HighestRedundancy,0.3,300,2577,7.988333333333333,30,0.2679975245139344,0.43513283941252745,400
Greedy,0.3,305,2577,7.988333333333333,30,0.18576674186471723,0.383195473283359,330
Ranking,0.3,305,2577,7.988333333333333,30,0.26181208780214726,0.36427182580153245,97
Random,0.3,305,2577,7.988333333333333,30,0.2225557816888077,0.29999945207305967,0
HighestRedundancy,0.3,305,2577,7.988333333333333,30,0.26759452346495305,0.39628015009618467,333
Greedy,0.3,310,2577,7.988333333333333,30,0.18449615058821206,0.383195473283359,322
Ranking,0.3,310,2577,7.988333333333333,30,0.2613136435736203,0.35945504928417804,54
Random,0.3,310,2577,7.988333333333333,30,0.21834698985182957,0.2999803091256456,0
HighestRedundancy,0.3,310,2577,7.988333333333333,30,0.26600359188337463,0.39628015009618467,315
Greedy,0.3,315,2577,7.988333333333333,30,0.18192111019521984,0.374211134142478,277
Ranking,0.3,315,2577,7.988333333333333,30,0.2605996193184211,0.3575755215642221,33
Random,0.3,315,2577,7.988333333333333,30,0.21987215968726415,0.29996356253261325,0
HighestRedundancy,0.3,315,2577,7.988333333333333,30,0.2646321290694999,0.39628015009618467,269
Greedy,0.3,320,2577,7.988333333333333,30,0.1793321816531275,0.3679094196942748,253
Ranking,0.3,320,2577,7.988333333333333,30,0.25927954307113843,0.3221525157162233,7
Random,0.3,320,2577,7.988333333333333,30,0.21704853452139625,0.2999964622866782,0
HighestRedundancy,0.3,320,2577,7.988333333333333,30,0.2623589743703206,0.3867399836641353,211
Greedy,0.3,325,2577,7.988333333333333,30,0.1791209072687702,0.35755418081002727,215
Ranking,0.3,325,2577,7.988333333333333,30,0.2600989782096583,0.32428523295392386,1
Random,0.3,325,2577,7.988333333333333,30,0.2168256146545973,0.29997618119568364,0
HighestRedundancy,0.3,325,2577,7.988333333333333,30,0.26134678076748274,0.39123273370885026,199
Greedy,0.3,330,2577,7.988333333333333,30,0.1763116652525657,0.36443840333607713,199
Ranking,0.3,330,2577,7.988333333333333,30,0.2588641539405809,0.29998418759425444,0
Random,0.3,330,2577,7.988333333333333,30,0.216923506629935,0.29990522792162694,0
HighestRedundancy,0.3,330,2577,7.988333333333333,30,0.26108051593004955,0.38355835616200185,160
Greedy,0.3,335,2577,7.988333333333333,30,0.1751629672396657,0.34943143854737513,191
Ranking,0.3,335,2577,7.988333333333333,30,0.25990066768040193,0.2999970082368425,0
Random,0.3,335,2577,7.988333333333333,30,0.21753729902189856,0.2999742849894562,0
HighestRedundancy,0.3,335,2577,7.988333333333333,30,0.2592607148165906,0.39123273370885026,132
Greedy,0.3,340,2577,7.988333333333333,30,0.174303405561028,0.3526243005107824,164
Ranking,0.3,340,2577,7.988333333333333,30,0.2593516020684827,0.2999631176229177,0
Random,0.3,340,2577,7.988333333333333,30,0.2136174461895236,0.29994782113917023,0
HighestRedundancy,0.3,340,2577,7.988333333333333,30,0.2561522632914153,0.36706924279862985,74
Greedy,0.3,345,2577,7.988333333333333,30,0.17308825156126117,0.3522897048572317,148
Ranking,0.3,345,2577,7.988333333333333,30,0.2598664516832015,0.29999494887163997,0
Random,0.3,345,2577,7.988333333333333,30,0.2137187376959553,0.29999495389707637,0
