strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.25,300,3151,7.990555555555556,30,0.18384558598180045,0.4067713075868798,855
Ranking,0.25,300,3151,7.990555555555556,30,0.22927433527758392,0.4020325690024101,573
Random,0.25,300,3151,7.990555555555556,30,0.1980304694599789,0.3602614222062955,222
HighestRedundancy,0.25,300,3151,7.990555555555556,30,0.2327068257232949,0.4220508530133576,776
Greedy,0.25,305,3151,7.990555555555556,30,0.18024343772782775,0.4041055632314075,763
Ranking,0.25,305,3151,7.990555555555556,30,0.22603826312103206,0.3896679864503539,467
Random,0.25,305,3151,7.990555555555556,30,0.19123537995518294,0.3215800505225648,84
HighestRedundancy,0.25,305,3151,7.990555555555556,30,0.23118626588711155,0.4114368775485838,751
Greedy,0.25,310,3151,7.990555555555556,30,0.17747777648804994,0.39787347310396,741
Ranking,0.25,310,3151,7.990555555555556,30,0.22356527486590624,0.398044126325801,431
Random,0.25,310,3151,7.990555555555556,30,0.19286471407580313,0.31347495993384,133
HighestRedundancy,0.25,310,3151,7.990555555555556,30,0.23075953662250107,0.40650701472556466,686
Greedy,0.25,315,3151,7.990555555555556,30,0.17582109543557048,0.4114368775485838,713
Ranking,0.25,315,3151,7.990555555555556,30,0.22155731158271053,0.38138083665421824,341
Random,0.25,315,3151,7.990555555555556,30,0.19085207106608953,0.30488765454316474,70
HighestRedundancy,0.25,315,3151,7.990555555555556,30,0.22945044110553112,0.40650701472556466,667
Greedy,0.25,320,3151,7.990555555555556,30,0.17337534039036087,0.3862993187447442,689
Ranking,0.25,320,3151,7.990555555555556,30,0.22217929520578178,0.36629061352344766,346
Random,0.25,320,3151,7.990555555555556,30,0.18929804299564937,0.30140938161120384,90
HighestRedundancy,0.25,320,3151,7.990555555555556,30,0.22772781545046786,0.38085773096150327,636
Greedy,0.25,325,3151,7.990555555555556,30,0.1728115225105933,0.3862993187447442,688
Ranking,0.25,325,3151,7.990555555555556,30,0.21983939750232823,0.39757651977972885,281
Random,0.25,325,3151,7.990555555555556,30,0.18921555069972118,0.3111825745006221,90
HighestRedundancy,0.25,325,3151,7.990555555555556,30,0.2277881735004017,0.3862993187447442,624
Greedy,0.25,330,3151,7.990555555555556,30,0.17226540620643818,0.3838833765679193,665
Ranking,0.25,330,3151,7.990555555555556,30,0.21834708985928653,0.3794815969860075,210
Random,0.25,330,3151,7.990555555555556,30,0.18855029448656793,0.31774957945853277,25
HighestRedundancy,0.25,330,3151,7.990555555555556,30,0.2258118973828185,0.3862993187447442,549
Greedy,0.25,335,3151,7.990555555555556,30,0.16972523241064078,0.3862993187447442,613
Ranking,0.25,335,3151,7.990555555555556,30,0.21784022443466292,0.367545905987674,195
Random,0.25,335,3151,7.990555555555556,30,0.1871836365447969,0.29702790308250093,22
HighestRedundancy,0.25,335,3151,7.990555555555556,30,0.22345858585117148,0.3862993187447442,469
Greedy,0.25,340,3151,7.990555555555556,30,0.1692153722023669,0.37274192427006075,630
Ranking,0.25,340,3151,7.990555555555556,30,0.21753977660119894,0.3389435147426894,159
Random,0.25,340,3151,7.990555555555556,30,0.1849542642468129,0.27765814600379174,24
HighestRedundancy,0.25,340,3151,7.990555555555556,30,0.22074466965126985,0.3862993187447442,394
Greedy,0.25,345,3151,7.990555555555556,30,0.16826139390712055,0.37138821131209276,617
Ranking,0.25,345,3151,7.990555555555556,30,0.21754921192831714,0.37642400376796026,211
Random,0.25,345,3151,7.990555555555556,30,0.1858177971454847,0.299160250234629,20
HighestRedundancy,0.25,345,3151,7.990555555555556,30,0.22024946089793682,0.37155860229915216,365
Greedy,0.25,350,3151,7.990555555555556,30,0.1661701265157521,0.36913320697757107,587
Ranking,0.25,350,3151,7.990555555555556,30,0.21797750536231783,0.34543689100293157,221
Random,0.25,350,3151,7.990555555555556,30,0.18326693859143262,0.2942589324740391,6
HighestRedundancy,0.25,350,3151,7.990555555555556,30,0.2186702837293543,0.3760735149480927,321
Greedy,0.25,355,3151,7.990555555555556,30,0.16445922909665397,0.38125484439954144,550
Ranking,0.25,355,3151,7.990555555555556,30,0.21731209125979908,0.3397252660322046,159
Random,0.25,355,3151,7.990555555555556,30,0.18348757840801336,0.26872195012789124,2
HighestRedundancy,0.25,355,3151,7.990555555555556,30,0.21719225806917988,0.36269537922082495,262
Greedy,0.25,360,3151,7.990555555555556,30,0.1636605890830574,0.37810285518441883,549
Ranking,0.25,360,3151,7.990555555555556,30,0.21759135812865973,0.32371518480021505,160
Random,0.25,360,3151,7.990555555555556,30,0.18272138654906805,0.2642135429790477,1
HighestRedundancy,0.25,360,3151,7.990555555555556,30,0.2158043528398776,0.3332503334630598,233
Greedy,0.25,365,3151,7.990555555555556,30,0.16301875710668268,0.3766313661722232,536
Ranking,0.25,365,3151,7.990555555555556,30,0.2146325132294147,0.28636259127272545,68
Random,0.25,365,3151,7.990555555555556,30,0.182937301598025,0.26533976038312923,1
HighestRedundancy,0.25,365,3151,7.990555555555556,30,0.2155658170184944,0.3668606388009952,211
Greedy,0.25,370,3151,7.990555555555556,30,0.1624248355022765,0.35145425728459573,535
Ranking,0.25,370,3151,7.990555555555556,30,0.21516015871703797,0.29666565833290237,61
Random,0.25,370,3151,7.990555555555556,30,0.18333593106268203,0.26312036802286465,1
HighestRedundancy,0.25,370,3151,7.990555555555556,30,0.2119541725895104,0.28583425936800433,37
Greedy,0.25,375,3151,7.990555555555556,30,0.16148039237210388,0.3760735149480927,526
Ranking,0.25,375,3151,7.990555555555556,30,0.21393112003591763,0.27584134569747704,6
Random,0.25,375,3151,7.990555555555556,30,0.18052250359438857,0.25203109016668235,1
HighestRedundancy,0.25,375,3151,7.990555555555556,30,0.21179908016645208,0.3190896699005519,77
Greedy,0.25,380,3151,7.990555555555556,30,0.15881977858101265,0.3760735149480927,473
Ranking,0.25,380,3151,7.990555555555556,30,0.21483553984104287,0.3152622439268762,27
