strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.3,250,2500,8.0,20,0.14040986679806697,0.36217378946482043,26
Ranking,0.3,250,2500,8.0,20,0.2549941852020819,0.299984793413266,0
Random,0.3,250,2500,8.0,20,0.20517955984564423,0.29998092842752716,0
HighestRedundancy,0.3,250,2500,8.0,20,0.25064277136905616,0.2999974765816536,0
Greedy,0.3,255,2500,8.0,20,0.14145222156296305,0.387130988074632,25
Ranking,0.3,255,2500,8.0,20,0.25529184086299883,0.29991269334953036,0
Random,0.3,255,2500,8.0,20,0.20207759139373044,0.2999675971813054,0
HighestRedundancy,0.3,255,2500,8.0,20,0.2483343253247525,0.299983833406971,0
Greedy,0.3,260,2500,8.0,20,0.13895786312276015,0.37911838572557166,27
Ranking,0.3,260,2500,8.0,20,0.2539651802999261,0.29997145933465036,0
Random,0.3,260,2500,8.0,20,0.2019876533878138,0.29995175084634473,0
HighestRedundancy,0.3,260,2500,8.0,20,0.2502121648798607,0.29996829581571893,0
Greedy,0.3,265,2500,8.0,20,0.13829103245041777,0.36020131999300503,23
Ranking,0.3,265,2500,8.0,20,0.25439738758908825,0.2999930685384273,0
Random,0.3,265,2500,8.0,20,0.20037347931605753,0.2999304874093923,0
HighestRedundancy,0.3,265,2500,8.0,20,0.24822800970010694,0.299993613147085,0
Greedy,0.3,270,2500,8.0,20,0.13905469729932043,0.35290316205008315,29
Ranking,0.3,270,2500,8.0,20,0.2541735580147846,0.2999507180185453,0
Random,0.3,270,2500,8.0,20,0.19969189522738465,0.2999931946062996,0
HighestRedundancy,0.3,270,2500,8.0,20,0.24819602116025585,0.2999996726208153,0
Greedy,0.3,275,2500,8.0,20,0.1396196121718049,0.36232627556929803,26
Ranking,0.3,275,2500,8.0,20,0.25610444836549734,0.2999889103895374,0
Random,0.3,275,2500,8.0,20,0.20121131370859466,0.2999978399433121,0
HighestRedundancy,0.3,275,2500,8.0,20,0.24855423260075724,0.2999967896756809,0
Greedy,0.3,280,2500,8.0,20,0.1357167573749958,0.3469917005517734,30
Ranking,0.3,280,2500,8.0,20,0.25464635462498125,0.2999758053437136,0
Random,0.3,280,2500,8.0,20,0.20009720218059995,0.2999319634044657,0
HighestRedundancy,0.3,280,2500,8.0,20,0.24760358933626908,0.29997260116390967,0
Greedy,0.3,285,2500,8.0,20,0.13433492922980858,0.38209126593990345,25
Ranking,0.3,285,2500,8.0,20,0.25379045710060827,0.2999866246963583,0
Random,0.3,285,2500,8.0,20,0.1986608521794137,0.2999714412926098,0
HighestRedundancy,0.3,285,2500,8.0,20,0.24701747862003282,0.2999996726208153,0
Greedy,0.3,290,2500,8.0,20,0.12961812942866274,0.3367148026199097,11
Ranking,0.3,290,2500,8.0,20,0.25527571769862045,0.29999981716487933,0
Random,0.3,290,2500,8.0,20,0.2016702302885013,0.29981821206603376,0
HighestRedundancy,0.3,290,2500,8.0,20,0.24887079503910423,0.299983833406971,0
Greedy,0.3,295,2500,8.0,20,0.12900364685235702,0.35611591379823476,27
Ranking,0.3,295,2500,8.0,20,0.25504506118621173,0.2999815654931472,0
Random,0.3,295,2500,8.0,20,0.19760342412538837,0.29998124586108854,0
HighestRedundancy,0.3,295,2500,8.0,20,0.2465518026281562,0.2999996726208153,0
Greedy,0.3,300,2500,8.0,20,0.1295097177577019,0.35731010771081234,17
Ranking,0.3,300,2500,8.0,20,0.25509589160568885,0.2999818535243112,0
Random,0.3,300,2500,8.0,20,0.20006724954750668,0.29994776607221574,0
HighestRedundancy,0.3,300,2500,8.0,20,0.24516035514980117,0.299992121246198,0
