strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.25,150,3000,8.0,20,0.20791181128437172,0.5221834366338866,906
Ranking,0.25,150,3000,8.0,20,0.23700926884282744,0.5277242221392071,834
Random,0.25,150,3000,8.0,20,0.21839315483147467,0.5062683510185709,532
HighestRedundancy,0.25,150,3000,8.0,20,0.24730886576555258,0.5273330172026871,1151
Greedy,0.25,155,3000,8.0,20,0.20129278113545707,0.5223044029816492,848
Ranking,0.25,155,3000,8.0,20,0.23090040181766092,0.5242386025988695,676
Random,0.25,155,3000,8.0,20,0.2118153713357647,0.47613982289272017,414
HighestRedundancy,0.25,155,3000,8.0,20,0.2420217049847922,0.5168970481698095,1062
Greedy,0.25,160,3000,8.0,20,0.18987244623267396,0.48446783394941306,662
Ranking,0.25,160,3000,8.0,20,0.2280316563991843,0.48842883033091333,614
Random,0.25,160,3000,8.0,20,0.20778305303661274,0.5034082143887334,339
HighestRedundancy,0.25,160,3000,8.0,20,0.23867028331960669,0.5027240594121182,939
Greedy,0.25,165,3000,8.0,20,0.1901821886218745,0.4849552027953189,697
Ranking,0.25,165,3000,8.0,20,0.22300483927549966,0.4319318764735999,430
Random,0.25,165,3000,8.0,20,0.2029898212600236,0.4597065538116288,262
HighestRedundancy,0.25,165,3000,8.0,20,0.23614546820169338,0.5081843109606565,881
Greedy,0.25,170,3000,8.0,20,0.18272397463318601,0.4448179750628212,587
Ranking,0.25,170,3000,8.0,20,0.22024700022262186,0.5084820057632096,374
Random,0.25,170,3000,8.0,20,0.19788903482775755,0.4667218174091009,204
HighestRedundancy,0.25,170,3000,8.0,20,0.23054472737535475,0.44299509986391505,743
Greedy,0.25,175,3000,8.0,20,0.18325703601428386,0.43852985351947793,604
Ranking,0.25,175,3000,8.0,20,0.21879847214873208,0.47405810364074796,332
Random,0.25,175,3000,8.0,20,0.1995529883635095,0.4339817944401599,193
HighestRedundancy,0.25,175,3000,8.0,20,0.226260251993121,0.4114489713915145,593
Greedy,0.25,180,3000,8.0,20,0.17977171903504968,0.4282773977637439,543
Ranking,0.25,180,3000,8.0,20,0.21726654407639945,0.4459063494795207,264
Random,0.25,180,3000,8.0,20,0.1938626077166556,0.42142698839976656,127
HighestRedundancy,0.25,180,3000,8.0,20,0.2224877816519724,0.41067538748894405,511
Greedy,0.25,185,3000,8.0,20,0.17991696154756268,0.420260708747332,533
Ranking,0.25,185,3000,8.0,20,0.21671791918822234,0.4224607450777657,246
Random,0.25,185,3000,8.0,20,0.18980488419621042,0.3830546568637835,87
HighestRedundancy,0.25,185,3000,8.0,20,0.22199878507276688,0.38818406134350597,474
Greedy,0.25,190,3000,8.0,20,0.1752885450920751,0.4173540266011395,466
Ranking,0.25,190,3000,8.0,20,0.21526722758586986,0.38158877162727445,209
Random,0.25,190,3000,8.0,20,0.18978020218421943,0.4228008747843294,76
HighestRedundancy,0.25,190,3000,8.0,20,0.2176547259247375,0.37217290232818695,329
Greedy,0.25,195,3000,8.0,20,0.1733901652357396,0.42904202718879597,444
Ranking,0.25,195,3000,8.0,20,0.21464631984626695,0.40692258210866705,164
Random,0.25,195,3000,8.0,20,0.1862589888372259,0.3518037956066754,39
HighestRedundancy,0.25,195,3000,8.0,20,0.21700313065046534,0.37679834312512184,276
Greedy,0.25,200,3000,8.0,20,0.1736863457057936,0.41453349892608643,439
Ranking,0.25,200,3000,8.0,20,0.2130672667074307,0.40058320201471387,135
Random,0.25,200,3000,8.0,20,0.18587835155771548,0.3577072665340645,25
HighestRedundancy,0.25,200,3000,8.0,20,0.21599721405596845,0.360845309162246,258
Greedy,0.25,205,3000,8.0,20,0.1674009660070194,0.41453349892608643,381
Ranking,0.25,205,3000,8.0,20,0.21232794248971223,0.4047336146669925,124
Random,0.25,205,3000,8.0,20,0.18322810240901713,0.3317500537258445,25
HighestRedundancy,0.25,205,3000,8.0,20,0.2133091281425255,0.3662292821294837,162
Greedy,0.25,210,3000,8.0,20,0.16740276815245012,0.41269382699185936,379
Ranking,0.25,210,3000,8.0,20,0.2139054334056091,0.3594425923933821,134
Random,0.25,210,3000,8.0,20,0.18118116752600547,0.27523752478162467,6
HighestRedundancy,0.25,210,3000,8.0,20,0.21090929056331803,0.3072768981194567,115
Greedy,0.25,215,3000,8.0,20,0.16306319888845222,0.3908063168172346,332
Ranking,0.25,215,3000,8.0,20,0.21060023164649438,0.3633426821033089,72
Random,0.25,215,3000,8.0,20,0.1823070771510035,0.33667074180988893,15
HighestRedundancy,0.25,215,3000,8.0,20,0.2105373429152238,0.310507216702477,69
Greedy,0.25,220,3000,8.0,20,0.16103064656711505,0.4044851376248879,295
Ranking,0.25,220,3000,8.0,20,0.2118701882134455,0.36843953950989106,68
Random,0.25,220,3000,8.0,20,0.17954197905209526,0.29605149459111224,4
HighestRedundancy,0.25,220,3000,8.0,20,0.2090287607077442,0.281099234370047,40
Greedy,0.25,225,3000,8.0,20,0.1624621662943336,0.3895373519750959,332
Ranking,0.25,225,3000,8.0,20,0.21006891258630872,0.3835484619193782,65
Random,0.25,225,3000,8.0,20,0.1807620575248266,0.33133086429002534,11
HighestRedundancy,0.25,225,3000,8.0,20,0.20906207600266088,0.2976251724461573,31
Greedy,0.25,230,3000,8.0,20,0.16073485919603384,0.4044851376248879,326
Ranking,0.25,230,3000,8.0,20,0.21132319064655128,0.35228420722237686,52
Random,0.25,230,3000,8.0,20,0.1768595888092345,0.2843071493895605,3
HighestRedundancy,0.25,230,3000,8.0,20,0.20835126496570028,0.2956715649587498,25
Greedy,0.25,235,3000,8.0,20,0.15666514251689548,0.38821347073122636,280
Ranking,0.25,235,3000,8.0,20,0.2114042565538761,0.37609347485460887,63
Random,0.25,235,3000,8.0,20,0.180022265239433,0.30656561180403913,7
HighestRedundancy,0.25,235,3000,8.0,20,0.20763884168713312,0.27113286766352046,18
Greedy,0.25,240,3000,8.0,20,0.15731955195592134,0.3629909948848098,252
Ranking,0.25,240,3000,8.0,20,0.20992553731157929,0.3506944280844813,25
Random,0.25,240,3000,8.0,20,0.17981973319260947,0.24996532698820836,0
HighestRedundancy,0.25,240,3000,8.0,20,0.20668273163467543,0.2672744759338477,11
Greedy,0.25,245,3000,8.0,20,0.15595552811348173,0.37086708793530204,269
Ranking,0.25,245,3000,8.0,20,0.21126687206101494,0.3441829878624662,36
Random,0.25,245,3000,8.0,20,0.17546558363437403,0.24997909295436188,0
HighestRedundancy,0.25,245,3000,8.0,20,0.2067391649761701,0.27916862326488656,15
Greedy,0.25,250,3000,8.0,20,0.15496035134404992,0.36406938357040874,245
Ranking,0.25,250,3000,8.0,20,0.2088130270633473,0.3091344139359036,12
Random,0.25,250,3000,8.0,20,0.17853443902980254,0.2499725427443027,0
HighestRedundancy,0.25,250,3000,8.0,20,0.20761427886085207,0.2673373855288013,4
