strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.2,350,3500,8.0,20,0.14207607946351977,0.3584107105678895,759
Ranking,0.2,350,3500,8.0,20,0.16746623918272532,0.3216490571843085,114
Random,0.2,350,3500,8.0,20,0.14261019278286016,0.2455836698286352,11
HighestRedundancy,0.2,350,3500,8.0,20,0.1594539826596952,0.19999870896124888,0
Greedy,0.2,355,3500,8.0,20,0.1411482389917825,0.35322367324144643,745
Ranking,0.2,355,3500,8.0,20,0.16691721788961084,0.31022627304045824,145
Random,0.2,355,3500,8.0,20,0.14264248942979843,0.25489283336353835,5
HighestRedundancy,0.2,355,3500,8.0,20,0.15988902802047927,0.1999827177072756,0
Greedy,0.2,360,3500,8.0,20,0.14108057017849956,0.37075839128101573,746
Ranking,0.2,360,3500,8.0,20,0.16646940149798545,0.2941025072414968,123
Random,0.2,360,3500,8.0,20,0.14204357249586702,0.2606923608496567,4
HighestRedundancy,0.2,360,3500,8.0,20,0.16034892442906398,0.20168178059178637,1
Greedy,0.2,365,3500,8.0,20,0.13957054587337164,0.37666600374085296,710
Ranking,0.2,365,3500,8.0,20,0.1665818407098029,0.3049801480650585,111
Random,0.2,365,3500,8.0,20,0.14197544840082924,0.24161260237837281,5
HighestRedundancy,0.2,365,3500,8.0,20,0.16067198495750523,0.1999856056085956,0
Greedy,0.2,370,3500,8.0,20,0.13950125440298047,0.3469279397175393,744
Ranking,0.2,370,3500,8.0,20,0.16632160091561385,0.3111061375815358,113
Random,0.2,370,3500,8.0,20,0.1409129300131549,0.21373956082074796,1
HighestRedundancy,0.2,370,3500,8.0,20,0.1598522695667309,0.19998141279468878,0
Greedy,0.2,375,3500,8.0,20,0.13822568795108733,0.3706312842273936,714
Ranking,0.2,375,3500,8.0,20,0.16768984269199216,0.31296839664555454,134
Random,0.2,375,3500,8.0,20,0.14166141854268827,0.24367259953332499,4
HighestRedundancy,0.2,375,3500,8.0,20,0.15934675822534125,0.19999503909167893,0
Greedy,0.2,380,3500,8.0,20,0.13800657395089155,0.3575189594783946,724
Ranking,0.2,380,3500,8.0,20,0.16543847744406176,0.2940833990939692,65
Random,0.2,380,3500,8.0,20,0.1403319863559612,0.20257550888136464,1
HighestRedundancy,0.2,380,3500,8.0,20,0.15962007369343298,0.1999839614732384,0
Greedy,0.2,385,3500,8.0,20,0.13573481009629748,0.3743536652252436,680
Ranking,0.2,385,3500,8.0,20,0.16554361588303593,0.30966531839783884,55
Random,0.2,385,3500,8.0,20,0.14127695366279772,0.24391471589027705,1
HighestRedundancy,0.2,385,3500,8.0,20,0.15943190588724274,0.19999424869031796,0
Greedy,0.2,390,3500,8.0,20,0.13525102840319755,0.38159232608044935,689
Ranking,0.2,390,3500,8.0,20,0.16467731363001203,0.262271050596806,23
Random,0.2,390,3500,8.0,20,0.13985564821505206,0.19999715098166856,0
HighestRedundancy,0.2,390,3500,8.0,20,0.15921015213316936,0.19996315653156413,0
Greedy,0.2,395,3500,8.0,20,0.1345399467995436,0.37666600374085296,648
Ranking,0.2,395,3500,8.0,20,0.1645377215484646,0.2611419082752666,18
Random,0.2,395,3500,8.0,20,0.14100625910466408,0.26768174166265535,5
HighestRedundancy,0.2,395,3500,8.0,20,0.1594354504804734,0.19998077493101152,0
Greedy,0.2,400,3500,8.0,20,0.13497778341257563,0.35431336758764664,671
Ranking,0.2,400,3500,8.0,20,0.16549016179072423,0.2966069340218024,34
Random,0.2,400,3500,8.0,20,0.13910373535351794,0.23068620181525099,5
HighestRedundancy,0.2,400,3500,8.0,20,0.15871434641042184,0.1999941098145394,0
