strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.25,350,3000,8.0,20,0.10383995772309546,0.39997779942415806,237
Ranking,0.25,350,3000,8.0,20,0.22375036192049946,0.48069817813004134,670
Random,0.25,350,3000,8.0,20,0.21561985007397633,0.4955206223098116,733
HighestRedundancy,0.25,350,3000,8.0,20,0.222319227187853,0.46298632224400693,707
Greedy,0.25,355,3000,8.0,20,0.09716525173237109,0.38803036027397464,188
Ranking,0.25,355,3000,8.0,20,0.2197733156664977,0.4539844094571505,584
Random,0.25,355,3000,8.0,20,0.206615091429704,0.44530759559992705,602
HighestRedundancy,0.25,355,3000,8.0,20,0.216994939089416,0.44599519862796577,542
Greedy,0.25,360,3000,8.0,20,0.08947400517521308,0.353528087714689,113
Ranking,0.25,360,3000,8.0,20,0.21461433846440067,0.4232751737703422,431
Random,0.25,360,3000,8.0,20,0.2016151467190248,0.4324192520632718,485
HighestRedundancy,0.25,360,3000,8.0,20,0.21273476641065953,0.4367395039380608,442
Greedy,0.25,365,3000,8.0,20,0.08339559761743717,0.34145873752393247,79
Ranking,0.25,365,3000,8.0,20,0.2079727983595188,0.4005557518628252,299
Random,0.25,365,3000,8.0,20,0.19450419512231867,0.4303355251275103,365
HighestRedundancy,0.25,365,3000,8.0,20,0.2076194480170378,0.4239925750505411,333
Greedy,0.25,370,3000,8.0,20,0.07817951900498998,0.3391560906853591,61
Ranking,0.25,370,3000,8.0,20,0.2097474493721589,0.4193494833607627,289
Random,0.25,370,3000,8.0,20,0.19107326650866477,0.40856594541321756,280
HighestRedundancy,0.25,370,3000,8.0,20,0.20547975591589102,0.3915593887282571,260
Greedy,0.25,375,3000,8.0,20,0.07526743835578778,0.32363097202980606,49
Ranking,0.25,375,3000,8.0,20,0.20559512822960146,0.3960892682258616,235
Random,0.25,375,3000,8.0,20,0.1875992250020408,0.3770393128460445,208
HighestRedundancy,0.25,375,3000,8.0,20,0.2002571489665041,0.3836527742876874,127
Greedy,0.25,380,3000,8.0,20,0.07166526365510249,0.3015353133861415,28
Ranking,0.25,380,3000,8.0,20,0.20533610142766032,0.38215534053334604,184
Random,0.25,380,3000,8.0,20,0.18273661572427188,0.3818916301849642,150
HighestRedundancy,0.25,380,3000,8.0,20,0.2000495946632128,0.37570407961419566,112
Greedy,0.25,385,3000,8.0,20,0.07041833775149357,0.3015353133861415,25
Ranking,0.25,385,3000,8.0,20,0.20274171368641505,0.37143509674685177,139
Random,0.25,385,3000,8.0,20,0.18356207339413577,0.38069650274557143,177
HighestRedundancy,0.25,385,3000,8.0,20,0.1985869689918653,0.33897473029649083,62
Greedy,0.25,390,3000,8.0,20,0.06820805946061222,0.3015353133861415,22
Ranking,0.25,390,3000,8.0,20,0.19983024290687076,0.3908171926733506,89
Random,0.25,390,3000,8.0,20,0.1784298278512541,0.3852996100571087,89
HighestRedundancy,0.25,390,3000,8.0,20,0.1980725923417219,0.33879308791352364,37
Greedy,0.25,395,3000,8.0,20,0.06441159398923826,0.3107323322875085,12
Ranking,0.25,395,3000,8.0,20,0.19956364308779834,0.3668793460490757,63
Random,0.25,395,3000,8.0,20,0.18214650512198602,0.3544721210110975,99
HighestRedundancy,0.25,395,3000,8.0,20,0.19613539103121702,0.3144018875854258,24
Greedy,0.25,400,3000,8.0,20,0.06194501496819426,0.27689862483152694,5
Ranking,0.25,400,3000,8.0,20,0.19942167666263322,0.34378856609874053,65
Random,0.25,400,3000,8.0,20,0.17426849708565753,0.3316753012544664,19
HighestRedundancy,0.25,400,3000,8.0,20,0.19673492393141956,0.3033958167423708,12
Greedy,0.25,405,3000,8.0,20,0.05988957425439766,0.2741602727405285,5
Ranking,0.25,405,3000,8.0,20,0.1987929568103528,0.36073199522761745,29
Random,0.25,405,3000,8.0,20,0.17443853730317951,0.33402689911707373,43
HighestRedundancy,0.25,405,3000,8.0,20,0.19469572367353916,0.3193045203411502,11
Greedy,0.25,410,3000,8.0,20,0.05723627011778518,0.2602581849158658,3
Ranking,0.25,410,3000,8.0,20,0.20037989478693516,0.3341015298989795,37
Random,0.25,410,3000,8.0,20,0.17583127076261856,0.3318993272019059,51
HighestRedundancy,0.25,410,3000,8.0,20,0.19647525506574004,0.28065350401082456,8
Greedy,0.25,415,3000,8.0,20,0.05581605402832793,0.2559536928692611,1
Ranking,0.25,415,3000,8.0,20,0.198650365870248,0.32014882941734046,28
Random,0.25,415,3000,8.0,20,0.17372578567469504,0.3214633801704745,24
HighestRedundancy,0.25,415,3000,8.0,20,0.19488273211879564,0.25491425232299464,1
Greedy,0.25,420,3000,8.0,20,0.05385158462308236,0.2615923782510894,2
Ranking,0.25,420,3000,8.0,20,0.1992001658220288,0.32712459265601396,25
Random,0.25,420,3000,8.0,20,0.17214790555314474,0.2833174663780679,7
HighestRedundancy,0.25,420,3000,8.0,20,0.19440146584722212,0.28190557525246984,3
Greedy,0.25,425,3000,8.0,20,0.053159307218591426,0.24529763523301246,0
Ranking,0.25,425,3000,8.0,20,0.1977196331185936,0.3077699251323532,12
Random,0.25,425,3000,8.0,20,0.17222312812038987,0.3160784572472649,13
HighestRedundancy,0.25,425,3000,8.0,20,0.1958907250315178,0.2607598647178062,1
Greedy,0.25,430,3000,8.0,20,0.05085965590405188,0.24458520443356316,0
Ranking,0.25,430,3000,8.0,20,0.19793215342358156,0.28883763354463576,21
Random,0.25,430,3000,8.0,20,0.17208938343510502,0.28678412748674836,10
HighestRedundancy,0.25,430,3000,8.0,20,0.1952994748614141,0.27703141395068703,4
Greedy,0.25,435,3000,8.0,20,0.049521862885033005,0.2423309666581664,0
Ranking,0.25,435,3000,8.0,20,0.19867113546184748,0.270321592762779,3
Random,0.25,435,3000,8.0,20,0.17022438523617786,0.3251349582277788,13
HighestRedundancy,0.25,435,3000,8.0,20,0.19505442182471464,0.25359440103122144,3
Greedy,0.25,440,3000,8.0,20,0.04836560782506883,0.2423309666581664,0
Ranking,0.25,440,3000,8.0,20,0.1979782578431149,0.28144809104281465,11
Random,0.25,440,3000,8.0,20,0.17102822956877473,0.2658474013144231,2
HighestRedundancy,0.25,440,3000,8.0,20,0.19414924132496908,0.2499935055000414,0
Greedy,0.25,445,3000,8.0,20,0.047204316058635724,0.2423309666581664,0
Ranking,0.25,445,3000,8.0,20,0.19692219113524947,0.2847496776055246,7
Random,0.25,445,3000,8.0,20,0.16898295245962575,0.2573426369898407,2
HighestRedundancy,0.25,445,3000,8.0,20,0.19340715900533867,0.24997829073641045,0
Greedy,0.25,450,3000,8.0,20,0.04679192171561878,0.2423309666581664,0
Ranking,0.25,450,3000,8.0,20,0.1965633442803494,0.24999254227179557,0
Random,0.25,450,3000,8.0,20,0.16907692782917594,0.25533570554482865,1
HighestRedundancy,0.25,450,3000,8.0,20,0.19303809784531203,0.26914465345554245,1
