strat,max,num workers,num req,dur,seed,avg wt,max wt,num failed
Greedy,0.3,200,3000,8.0,20,0.11816478871565492,0.43828998289071386,79
Ranking,0.3,200,3000,8.0,20,0.2629502702670831,0.5381271931168994,470
Random,0.3,200,3000,8.0,20,0.2500326431948106,0.4995335749405597,414
HighestRedundancy,0.3,200,3000,8.0,20,0.2608286213220591,0.5465481047585758,471
Greedy,0.3,205,3000,8.0,20,0.10509111325384976,0.4081745925762629,37
Ranking,0.3,205,3000,8.0,20,0.256871969051495,0.5101785243167117,342
Random,0.3,205,3000,8.0,20,0.23805094017800457,0.5004135952341918,271
HighestRedundancy,0.3,205,3000,8.0,20,0.2531866849440429,0.522929097950709,306
Greedy,0.3,210,3000,8.0,20,0.09731294926102182,0.3961616799572951,57
Ranking,0.3,210,3000,8.0,20,0.25451366348009585,0.5158691090750718,278
Random,0.3,210,3000,8.0,20,0.2320375610044725,0.4670338671212075,141
HighestRedundancy,0.3,210,3000,8.0,20,0.24819466988777739,0.4745506454291611,155
Greedy,0.3,215,3000,8.0,20,0.09191775709517824,0.3961616799572951,48
Ranking,0.3,215,3000,8.0,20,0.25140422134823176,0.5470219456614972,182
Random,0.3,215,3000,8.0,20,0.22557278506350747,0.4589040997641422,89
HighestRedundancy,0.3,215,3000,8.0,20,0.24506845013068898,0.40515577026879457,100
Greedy,0.3,220,3000,8.0,20,0.08442653904164109,0.38207477662237477,22
Ranking,0.3,220,3000,8.0,20,0.24890076594837585,0.455871699348509,129
Random,0.3,220,3000,8.0,20,0.21916679327290767,0.4084292180928186,57
HighestRedundancy,0.3,220,3000,8.0,20,0.23961591364324852,0.3601561216928149,48
Greedy,0.3,225,3000,8.0,20,0.07976942967314149,0.369488662389517,27
Ranking,0.3,225,3000,8.0,20,0.24551454417016774,0.4155355520019607,89
Random,0.3,225,3000,8.0,20,0.21603196816006656,0.39434245770364884,37
HighestRedundancy,0.3,225,3000,8.0,20,0.2394162255717757,0.3751215368793925,20
Greedy,0.3,230,3000,8.0,20,0.07450623686057864,0.3645630364743506,12
Ranking,0.3,230,3000,8.0,20,0.2462033372803861,0.4884436614896287,88
Random,0.3,230,3000,8.0,20,0.2127178973849318,0.35319524795576906,17
HighestRedundancy,0.3,230,3000,8.0,20,0.2380381321465141,0.3755397223333369,9
Greedy,0.3,235,3000,8.0,20,0.07123673939175207,0.34685665346345684,8
Ranking,0.3,235,3000,8.0,20,0.24374674307726632,0.42099458997933425,35
Random,0.3,235,3000,8.0,20,0.2123933420685616,0.4389123552724602,22
HighestRedundancy,0.3,235,3000,8.0,20,0.2389364206250005,0.2999837971311964,0
Greedy,0.3,240,3000,8.0,20,0.06884932014911199,0.34685665346345684,8
Ranking,0.3,240,3000,8.0,20,0.24623535738082386,0.4706803310217075,81
Random,0.3,240,3000,8.0,20,0.20866224935129282,0.29999841217426015,0
HighestRedundancy,0.3,240,3000,8.0,20,0.23702181968895264,0.332866640052939,1
Greedy,0.3,245,3000,8.0,20,0.06613312824258136,0.34471649556079087,5
Ranking,0.3,245,3000,8.0,20,0.2442586342393797,0.4191679925736217,53
Random,0.3,245,3000,8.0,20,0.20411214648945986,0.3315243185628389,4
HighestRedundancy,0.3,245,3000,8.0,20,0.23951787183528636,0.2999593945894884,0
Greedy,0.3,250,3000,8.0,20,0.06424330839488923,0.3333708458919278,5
Ranking,0.3,250,3000,8.0,20,0.24378113064996854,0.36280538258604506,14
Random,0.3,250,3000,8.0,20,0.20364280799271647,0.3442042030271637,3
HighestRedundancy,0.3,250,3000,8.0,20,0.23768033530507646,0.2999985778844897,0
